repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
mattn__goveralls,3c566820b1872aae28023f455893c0fd4f15198b,OK,2,2,10,4,10,2,2,0,0,""
mdlayher__dhcp6,2a67805d7d0b0bad6c1103058981afdea583b459,OK,1,1,1,1,1,1,1,0,0,""
s0rg__decompose,de6c01882f245fb7ecbaab0bc5bf7fcc463d0d0d,OK,26,26,69,57,35,26,27,0,0,""
esimov__gogu,c0a8b0b96bf3378466affe91d099440bdc031501,OK,2,6,12,7,6,2,2,0,0,""
codingsince1985__geo-golang,72ff6a749cc8cc214d09e4e0c35aa082a52b5364,OK,1,5,7,6,5,1,1,0,0,""
valyala__quicktemplate,4d619e27ca723c29dcecf9844b193ee20df2322a,OK,4,4,9,4,4,4,4,0,0,""
utahta__go-cronowriter,3d036dc1ce340a5fb18a614966d2acbc7ff22546,OK,2,2,10,10,10,2,2,0,0,""
AllenDang__cimgui-go,455bafd72aaba5ab0e86d7dafb79ad7ca5424ffd,OK,8,8,30,29,19,15,11,0,0,""
krotik__ecal,1a5bf4c77f8973c468f0b5edf47ecb4779da6143,OK,1,1,1,4,4,3,1,0,0,""
avito-tech__normalize,07914ec46c8de8f84c87f3d54e888f701f6946d3,OK,1,1,3,3,3,1,1,0,0,""
google__go-github,f15206a0a13352f2220e8e1fb3b3a4840c058118,OK,1,2,2,207,103,92,1,0,0,""
bradleyjkemp__cupaloy,bae07880a7b7e65701a45ecbb32914e6552626a5,OK,2,5,6,6,6,2,2,0,0,""
mafulong__godal,d3896c9dbd91c74b37188151cbdbe31b768bf051,OK,10,14,180,17,180,10,10,0,0,""
raszia__gotiny,74c123087dcf885b4a5895c74ba777fe9afd8271,OK,1,1,1,1,1,1,1,0,0,""
kpfaulkner__borders,1b62cb265503a4a1a5f7f9d18a9605f24041f425,OK,1,1,2,1,1,1,1,0,0,""
antchfx__xmlquery,e79c9c9146ba2cef9786787f72d4efd1ca8603f1,OK,4,4,14,4,14,4,4,0,0,""
corazawaf__coraza,7d9d2ad06519f6a83ef8a7554ec931a4e9207c6a,OK,17,23,125,75,68,35,34,0,0,""
mvmaasakkers__certificates,dd7ff0f3ed4dfc099984cb5b6c4b2855e606036b,OK,13,13,44,19,13,13,13,0,0,""
oklog__ulid,96c4edf226ef639c92f96f42c7c2a161ae0e1a66,OK,1,1,1,1,1,1,1,0,0,""
boxesandglue__bagme,a98b0e0e4d29fcc8fa24f3aaf6303b8e1b31d3a9,OK,17,17,22,17,17,17,17,0,0,""
pascaldekloe__colfer,6365466e2d8208a536dfb7bca82d81216813061c,OK,3,4,14,5,NA,3,3,0,1,""
bytebase__bytebase,47fdd4474c09a2e466907ac6de209ab1ad089f0c,OK,321,324,983,480,351,321,343,0,0,""
slipros__roamer,0fd2ae550a31a5329117a4d09f85b31a89a049dc,OK,11,11,17,33,32,19,10,0,0,""
galeone__tfgo,16113111dc99451377956d54149ac72072d6d973,OK,2,2,5,3,2,2,2,0,0,""
steevin__neuron-cli,0c7c26b576ee91d8fe57491dcb3f4cad129c034c,OK,69,69,118,101,73,69,73,0,0,""
antchfx__htmlquery,bfb8bdf08b7700aaebab70c07f4379d629cb6a51,OK,4,4,14,4,14,4,4,0,0,""
cilium__ebpf,075392bc812bf4914118d2a45fb03ff99deaae90,OK,7,12,86,37,35,7,25,0,0,""
