repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_gosum_only,fp_sibling
xta__okrun,TIMEOUT_OR_EMPTY
xtaci__gonet,TIMEOUT_OR_EMPTY
xtaci__kcptun,CLONE_FAIL
xujiajun__godbal,TIMEOUT_OR_EMPTY
xujiajun__gorouter,TIMEOUT_OR_EMPTY
yaronn__blessed-contrib,TIMEOUT_OR_EMPTY
yaronsumel__grapes,syft,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
yaronsumel__grapes,trivy,8,7,0,3,12,0,3,12,0,7,8,1,3,12,0,3,12,0,0,0,0,0,12,0
yaronsumel__grapes,cdxgen,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
yaronsumel__grapes,cyclonedx-gomod,NA
yassinebenaid__godump,TIMEOUT_OR_EMPTY
yuin__goldmark,TIMEOUT_OR_EMPTY
yunabe__lgo,TIMEOUT_OR_EMPTY
yuseferi__envyaml,syft,6,0,1,2,4,0,5,1,0,6,0,1,2,4,0,5,1,0,3,0,0,0,1,0
yuseferi__envyaml,trivy,5,0,2,2,3,0,5,0,0,5,0,2,2,3,0,5,0,0,3,0,0,0,0,0
yuseferi__envyaml,cdxgen,2,0,5,2,0,0,2,0,3,2,0,5,2,0,0,2,0,3,0,0,0,0,0,0
yuseferi__envyaml,cyclonedx-gomod,2,0,5,2,0,0,2,0,3,2,0,5,2,0,0,2,0,3,0,0,0,0,0,0
SaiNageswarS__go-api-boot,syft,111,0,197,92,19,0,92,19,0,111,0,197,92,19,0,92,19,0,0,1,0,0,18,0
SaiNageswarS__go-api-boot,trivy,93,0,215,92,1,0,92,1,0,93,0,215,92,1,0,92,1,0,0,1,0,0,0,0
SaiNageswarS__go-api-boot,cdxgen,92,0,216,92,0,0,92,0,0,92,0,216,92,0,0,92,0,0,0,0,0,0,0,0
SaiNageswarS__go-api-boot,cyclonedx-gomod,88,0,220,87,1,5,87,1,5,88,0,220,87,1,5,87,1,5,0,1,0,0,0,0
golang-templates__seed,TIMEOUT_OR_EMPTY
HnH__qry,TIMEOUT_OR_EMPTY
LimeChain__gosemble,syft,0,81,0,26,55,0,26,55,0,0,81,0,26,55,0,26,55,0,0,2,3,49,1,0
LimeChain__gosemble,trivy,0,78,0,26,52,0,26,52,0,0,78,0,26,52,0,26,52,0,0,2,0,49,1,0
LimeChain__gosemble,cdxgen,0,85,0,26,59,0,26,59,0,0,85,0,26,59,0,26,59,0,0,2,3,50,1,3
LimeChain__gosemble,cyclonedx-gomod,NA
MatProGo-dev__MatProInterface.go,syft,2,0,16,2,0,0,2,0,0,2,0,16,2,0,0,2,0,0,0,0,0,0,0,0
MatProGo-dev__MatProInterface.go,trivy,2,0,16,2,0,0,2,0,0,2,0,16,2,0,0,2,0,0,0,0,0,0,0,0
MatProGo-dev__MatProInterface.go,cdxgen,2,0,16,2,0,0,2,0,0,2,0,16,2,0,0,2,0,0,0,0,0,0,0,0
MatProGo-dev__MatProInterface.go,cyclonedx-gomod,2,0,16,2,0,0,2,0,0,2,0,16,2,0,0,2,0,0,0,0,0,0,0,0
MaxHalford__eaopt,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
MaxHalford__eaopt,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
MaxHalford__eaopt,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
MaxHalford__eaopt,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Melkeydev__go-blueprint,syft,22,0,11,20,2,0,20,2,0,22,0,11,20,2,0,20,2,0,0,2,0,0,0,0
Melkeydev__go-blueprint,trivy,22,0,11,20,2,0,20,2,0,22,0,11,20,2,0,20,2,0,0,2,0,0,0,0
Melkeydev__go-blueprint,cdxgen,20,0,13,20,0,0,20,0,0,20,0,13,20,0,0,20,0,0,0,0,0,0,0,0
Melkeydev__go-blueprint,cyclonedx-gomod,22,0,11,20,2,0,20,2,0,22,0,11,20,2,0,20,2,0,0,2,0,0,0,0
MonaxGT__gosddl,TIMEOUT_OR_EMPTY
SimonWaldherr__golang-examples,syft,61,35,84,39,57,0,42,54,0,59,37,86,39,57,0,42,54,0,3,0,1,2,14,37
SimonWaldherr__golang-examples,trivy,52,32,93,39,45,0,42,42,0,46,43,99,39,50,0,42,47,0,3,0,1,2,5,34
