repo,tool,july,scorer_main,scorer_main_empty,verdict
DeRuina__timberjack,cyclonedx-gomod,1/0/1/1/0/0/1/0/1,1/0/1/1/0/0/1/0/1,,match
DrmagicE__gmqtt,syft,119/0/193/47/72/0/47/72/0,119/0/193/47/72/0/47/72/0,,match
DrmagicE__gmqtt,trivy,105/0/207/47/58/0/47/58/0,105/0/207/47/58/0/47/58/0,,match
DrmagicE__gmqtt,cdxgen,47/0/265/47/0/0/47/0/0,47/0/265/47/0/0/47/0/0,,match
DrmagicE__gmqtt,cyclonedx-gomod,104/0/208/47/57/0/47/57/0,104/0/208/47/57/0/47/57/0,,match
DylanMeeus__hasgo,syft,2/1/6/2/1/0/2/1/0,2/1/6/2/1/0/2/1/0,,match
DylanMeeus__hasgo,trivy,8/1/0/2/7/0/2/7/0,8/1/0/2/7/0/2/7/0,,match
DylanMeeus__hasgo,cdxgen,2/0/6/2/0/0/2/0/0,2/0/6/2/0/0/2/0/0,,match
DylanMeeus__hasgo,cyclonedx-gomod,2/0/6/2/0/0/2/0/0,2/0/6/2/0/0/2/0/0,,match
Dynom__TySug,syft,13/0/3/8/5/0/9/4/0,13/0/3/8/5/0/9/4/0,,match
Dynom__TySug,trivy,10/0/6/8/2/0/9/1/0,10/0/6/8/2/0/9/1/0,,match
Dynom__TySug,cdxgen,8/0/8/8/0/0/8/0/1,8/0/8/8/0/0/8/0/1,,match
Dynom__TySug,cyclonedx-gomod,9/0/7/8/1/0/8/1/1,9/0/7/8/1/0/8/1/1,,match
EchoVault__EchoVault,syft,40/0/56/30/10/0/31/9/0,40/0/56/30/10/0/31/9/0,,match
EchoVault__EchoVault,trivy,31/0/65/30/1/0/31/0/0,31/0/65/30/1/0/31/0/0,,match
EchoVault__EchoVault,cdxgen,30/0/66/30/0/0/30/0/1,30/0/66/30/0/0/30/0/1,,match
EchoVault__EchoVault,cyclonedx-gomod,30/0/66/30/0/0/30/0/1,30/0/66/30/0/0/30/0/1,,match
Edgenesis__shifu,syft,166/0/269/126/40/0/134/32/0,166/0/269/126/40/0/134/32/0,,match
Edgenesis__shifu,trivy,137/0/298/126/11/0/134/3/0,137/0/298/126/11/0/134/3/0,,match
Edgenesis__shifu,cdxgen,126/0/309/126/0/0/126/0/8,126/0/309/126/0/0/126/0/8,,match
Edgenesis__shifu,cyclonedx-gomod,119/0/316/118/1/8/118/1/16,119/0/316/118/1/8/118/1/16,,match
EngoEngine__engo,syft,31/0/14/17/14/0/21/10/0,31/0/14/17/14/0/21/10/0,,match
EngoEngine__engo,trivy,31/0/14/17/14/0/21/10/0,31/0/14/17/14/0/21/10/0,,match
EngoEngine__engo,cdxgen,17/0/28/17/0/0/17/0/4,17/0/28/17/0/0/17/0/4,,match
EngoEngine__engo,cyclonedx-gomod,24/0/21/17/7/0/17/7/4,24/0/21/17/7/0/17/7/4,,match
Eun__go-convert,syft,6/0/1/5/1/0/5/1/0,6/0/1/5/1/0/5/1/0,,match
Eun__go-convert,trivy,7/0/0/5/2/0/5/2/0,7/0/0/5/2/0/5/2/0,,match
Eun__go-convert,cdxgen,5/0/2/5/0/0/5/0/0,5/0/2/5/0/0/5/0/0,,match
Eun__go-convert,cyclonedx-gomod,5/0/2/5/0/0/5/0/0,5/0/2/5/0/0/5/0/0,,match
Eun__go-hit,syft,44/0/8/30/14/0/35/9/0,44/0/8/30/14/0/35/9/0,,match
Eun__go-hit,trivy,52/0/0/30/22/0/35/17/0,52/0/0/30/22/0/35/17/0,,match
Eun__go-hit,cdxgen,38/0/14/30/8/0/35/3/0,38/0/14/30/8/0/35/3/0,,match
Eun__go-hit,cyclonedx-gomod,30/0/22/30/0/0/30/0/5,30/0/22/30/0/0/30/0/5,,match
Evertras__bubble-table,syft,27/0/8/19/8/0/23/4/0,27/0/8/19/8/0/23/4/0,,match
Evertras__bubble-table,trivy,23/0/12/19/4/0/23/0/0,23/0/12/19/4/0/23/0/0,,match
Evertras__bubble-table,cdxgen,19/0/16/19/0/0/19/0/4,19/0/16/19/0/0/19/0/4,,match
Evertras__bubble-table,cyclonedx-gomod,19/0/16/19/0/0/19/0/4,19/0/16/19/0/0/19/0/4,,match
FiloSottile__age,syft,9/0/8/6/3/0/9/0/0,9/0/8/6/3/0/9/0/0,,match
FiloSottile__age,trivy,9/0/8/6/3/0/9/0/0,9/0/8/6/3/0/9/0/0,,match
FiloSottile__age,cdxgen,6/0/11/6/0/0/6/0/3,6/0/11/6/0/0/6/0/3,,match
FiloSottile__age,cyclonedx-gomod,6/0/11/6/0/0/6/0/3,6/0/11/6/0/0/6/0/3,,match
Forceu__gokapi,syft,71/0/43/30/41/0/34/37/0,71/0/43/30/41/0/34/37/0,,match
Forceu__gokapi,trivy,49/0/65/30/19/0/34/15/0,49/0/65/30/19/0/34/15/0,,match
Forceu__gokapi,cdxgen,49/0/65/30/19/0/34/15/0,49/0/65/30/19/0/34/15/0,,match
Forceu__gokapi,cyclonedx-gomod,41/0/73/30/11/0/30/11/4,41/0/73/30/11/0/30/11/4,,match
FrancoLiberali__cql,syft,80/1/33/16/65/0/33/48/0,80/1/33/16/65/0/33/48/0,,match
FrancoLiberali__cql,trivy,63/1/50/16/48/0/33/31/0,63/1/50/16/48/0/33/31/0,,match
FrancoLiberali__cql,cdxgen,38/0/75/16/22/0/17/21/16,38/0/75/16/22/0/17/21/16,,match
FrancoLiberali__cql,cyclonedx-gomod,42/1/71/12/31/4/13/30/20,42/1/71/12/31/4/13/30/20,,match
FreeLeh__GoFreeDB,syft,29/0/64/16/13/0/22/7/0,29/0/64/16/13/0/22/7/0,,match
FreeLeh__GoFreeDB,trivy,23/0/70/16/7/0/22/1/0,23/0/70/16/7/0/22/1/0,,match
FreeLeh__GoFreeDB,cdxgen,16/0/77/16/0/0/16/0/6,16/0/77/16/0/0/16/0/6,,match
FreeLeh__GoFreeDB,cyclonedx-gomod,17/0/76/16/1/0/16/1/6,17/0/76/16/1/0/16/1/6,,match
Fs02__go-todo-backend,syft,40/0/11/16/24/0/17/23/0,40/0/11/16/24/0/17/23/0,,match
