module,syft,trivy,cdxgen,cyclonedx-gomod,total
github.com/gkampitakis/go-snaps,6,1,0,0,7
github.com/knadh/koanf/maps,2,2,1,2,7
github.com/knadh/koanf/parsers/yaml,2,2,1,2,7
github.com/knadh/koanf/providers/file,2,2,1,2,7
github.com/knadh/koanf/v2,2,2,1,2,7
github.com/maruel/natural,6,1,0,0,7
github.com/joho/godotenv,2,4,1,0,7
github.com/nbio/st,5,2,0,0,7
github.com/burntsushi/xgb,0,7,0,0,7
gopkg.in/go-playground/assert.v1,3,4,0,0,7
github.com/bgentry/speakeasy,0,7,0,0,7
github.com/dgrijalva/jwt-go,1,6,0,0,7
github.com/dgryski/go-farm,6,1,0,0,7
github.com/grpc-ecosystem/go-grpc-middleware,1,6,0,0,7
github.com/grpc-ecosystem/go-grpc-prometheus,1,6,0,0,7
github.com/montanaflynn/stats,2,4,1,0,7
github.com/soheilhy/cmux,1,6,0,0,7
github.com/spf13/jwalterweatherman,1,6,0,0,7
github.com/tjfoc/gmsm,3,3,0,1,7
github.com/tmc/grpc-websocket-proxy,1,6,0,0,7
github.com/xiang90/probing,1,6,0,0,7
github.com/gorilla/handlers,3,3,0,1,7
go.opentelemetry.io/otel/metric/x,7,0,0,0,7
github.com/jmespath/go-jmespath/internal/testify,7,0,0,0,7
github.com/smarty/assertions,5,2,0,0,7
github.com/chzyer/readline,0,7,0,0,7
github.com/anmitsu/go-shlex,5,2,0,0,7
github.com/gliderlabs/ssh,5,2,0,0,7
cloud.google.com/go/bigquery,1,6,0,0,7
cloud.google.com/go/iam,3,2,2,0,7
github.com/go-jose/go-jose/v4,4,2,1,0,7
github.com/chigopher/pathlib,2,2,2,1,7
github.com/iancoleman/strcase,2,2,2,1,7
github.com/vektra/mockery/v2,2,2,2,1,7
github.com/bradleyjkemp/cupaloy,3,3,1,0,7
github.com/aws/aws-sdk-go-v2,3,2,2,0,7
github.com/aws/aws-sdk-go-v2/internal/configsources,3,2,2,0,7
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,3,2,2,0,7
github.com/aws/smithy-go,3,2,2,0,7
github.com/docker/distribution,3,3,0,1,7
github.com/hashicorp/go-hclog,6,1,0,0,7
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,4,2,1,0,7
github.com/davidmz/go-pageant,2,2,1,2,7
github.com/google/go-containerregistry,3,2,1,1,7
github.com/santhosh-tekuri/jsonschema/v6,3,3,1,0,7
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp,3,3,1,0,7
github.com/puerkitobio/goquery,3,3,1,0,7
github.com/andybalholm/cascadia,3,3,1,0,7
github.com/dlclark/regexp2,4,1,1,0,6
github.com/getkin/kin-openapi,2,2,1,1,6
github.com/labstack/gommon,2,2,1,1,6
github.com/oasdiff/yaml,2,2,1,1,6
github.com/oasdiff/yaml3,2,2,1,1,6
github.com/muesli/termenv,2,2,2,0,6
github.com/matryer/moq,2,2,0,2,6
github.com/zeebo/xxh3,4,1,1,0,6
github.com/ebitengine/gomobile,2,2,0,2,6
github.com/charmbracelet/x/conpty,4,1,0,1,6
github.com/census-instrumentation/opencensus-proto,0,6,0,0,6
github.com/coreos/go-systemd/v22,1,5,0,0,6
github.com/datadog/zstd,2,3,1,0,6
github.com/eapache/go-xerial-snappy,1,5,0,0,6
github.com/gorilla/context,1,5,0,0,6
github.com/satori/go.uuid,1,5,0,0,6
github.com/stackexchange/wmi,1,3,0,2,6
gopkg.in/resty.v1,0,6,0,0,6
github.com/azure/azure-sdk-for-go/sdk/security/keyvault/azkeys,6,0,0,0,6
github.com/pkg/browser,5,1,0,0,6
github.com/go-errors/errors,5,1,0,0,6
github.com/chainsafe/wazero,2,2,1,1,6
github.com/gdamore/encoding,2,2,2,0,6
github.com/mgutz/ansi,3,2,0,1,6
github.com/bmizerany/assert,3,3,0,0,6
github.com/cloudflare/golz4,1,4,0,1,6
github.com/armon/go-socks5,5,1,0,0,6
github.com/go-openapi/inflect,2,2,1,1,6
github.com/go-swagger/go-swagger,2,2,1,1,6
github.com/toqueteos/webbrowser,2,2,1,1,6
google.golang.org/grpc/cmd/protoc-gen-go-grpc,2,2,1,1,6
golang.org/x/exp/shiny,2,2,0,2,6
github.com/ettle/strcase,2,2,1,1,6
github.com/fatih/structtag,2,2,1,1,6
cloud.google.com/go/firestore,1,5,0,0,6
github.com/armon/circbuf,0,6,0,0,6
github.com/armon/go-radix,0,6,0,0,6
github.com/coreos/bbolt,1,5,0,0,6
github.com/coreos/pkg,1,5,0,0,6
github.com/hashicorp/go-syslog,0,6,0,0,6
github.com/hashicorp/logutils,0,6,0,0,6
github.com/hashicorp/mdns,0,6,0,0,6
github.com/mitchellh/cli,0,6,0,0,6
github.com/posener/complete,0,6,0,0,6
github.com/ryanuber/columnize,0,6,0,0,6
github.com/emirpasic/gods,2,3,1,0,6
github.com/jbenet/go-context,2,3,1,0,6
github.com/kevinburke/ssh_config,2,3,1,0,6
github.com/spiffe/go-spiffe/v2,3,2,1,0,6
github.com/xanzy/ssh-agent,2,3,1,0,6
gopkg.in/warnings.v0,2,3,1,0,6
github.com/andybalholm/brotli,2,3,1,0,6
github.com/valyala/fasthttp,2,3,1,0,6
github.com/go-kit/log,1,4,1,0,6
github.com/decred/dcrd/dcrec/secp256k1/v4,2,2,1,1,6
github.com/segmentio/asm,2,2,1,1,6
github.com/minio/sha256-simd,2,2,1,1,6
