repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
Allra-Fintech__mdv,syft,6,6,6,6,15,15,6,6,3,3,0,0,6,6,3,3,0,0,9,9,0,0,6,6,yes
Allra-Fintech__mdv,trivy,6,6,6,6,15,15,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,9,9,yes
Allra-Fintech__mdv,cdxgen,6,6,6,6,15,15,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,9,9,yes
Allra-Fintech__mdv,cyclonedx-gomod,6,6,6,6,15,15,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0,0,9,9,yes
Andrew-M-C__go.jsonvalue,syft,1,1,4,4,10,10,1,1,3,3,0,0,4,4,0,0,0,0,4,4,0,0,6,6,yes
Andrew-M-C__go.jsonvalue,trivy,1,1,4,4,10,10,1,1,9,9,0,0,4,4,6,6,0,0,10,10,0,0,0,0,yes
Andrew-M-C__go.jsonvalue,cdxgen,1,1,4,4,10,10,1,1,0,0,0,0,1,1,0,0,3,3,1,1,0,0,9,9,yes
Andrew-M-C__go.jsonvalue,cyclonedx-gomod,1,1,4,4,10,10,1,1,0,0,0,0,1,1,0,0,3,3,1,1,0,0,9,9,yes
Antonboom__testifylint,syft,3,3,3,3,8,8,3,3,19,19,0,0,3,3,19,19,0,0,6,6,16,16,2,2,yes
Antonboom__testifylint,trivy,3,3,3,3,8,8,3,3,13,13,0,0,3,3,13,13,0,0,4,4,12,12,4,4,yes
Antonboom__testifylint,cdxgen,3,3,3,3,8,8,3,3,12,12,0,0,3,3,12,12,0,0,4,4,11,11,4,4,yes
Antonboom__testifylint,cyclonedx-gomod,3,3,3,3,8,8,2,2,0,0,1,1,2,2,0,0,1,1,2,2,0,0,6,6,yes
Antonito__gfile,syft,31,31,35,35,51,51,31,31,9,9,0,0,35,35,5,5,0,0,40,40,0,0,11,11,yes
Antonito__gfile,trivy,31,31,35,35,51,51,31,31,5,5,0,0,35,35,1,1,0,0,36,36,0,0,15,15,yes
Antonito__gfile,cdxgen,31,31,35,35,51,51,31,31,0,0,0,0,31,31,0,0,4,4,31,31,0,0,20,20,yes
Antonito__gfile,cyclonedx-gomod,31,31,35,35,51,51,31,31,1,1,0,0,31,31,1,1,4,4,32,32,0,0,19,19,yes
AppsFlyer__go-sundheit,syft,1,1,7,7,11,11,1,1,14,14,0,0,7,7,8,8,0,0,10,10,5,5,1,1,yes
AppsFlyer__go-sundheit,trivy,1,1,7,7,11,11,1,1,11,11,0,0,7,7,5,5,0,0,9,9,3,3,2,2,yes
