repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
Dynom__TySug,trivy,8,8,9,9,16,16,8,8,2,2,0,0,9,9,1,1,0,0,10,10,0,0,6,6,yes
Dynom__TySug,cdxgen,8,8,9,9,16,16,8,8,0,0,0,0,8,8,0,0,1,1,8,8,0,0,8,8,yes
Dynom__TySug,cyclonedx-gomod,8,8,9,9,16,16,8,8,1,1,0,0,8,8,1,1,1,1,9,9,0,0,7,7,yes
EchoVault__EchoVault,syft,30,30,31,31,96,96,30,30,10,10,0,0,31,31,9,9,0,0,40,40,0,0,56,56,yes
EchoVault__EchoVault,trivy,30,30,31,31,96,96,30,30,1,1,0,0,31,31,0,0,0,0,31,31,0,0,65,65,yes
EchoVault__EchoVault,cdxgen,30,30,31,31,96,96,30,30,0,0,0,0,30,30,0,0,1,1,30,30,0,0,66,66,yes
EchoVault__EchoVault,cyclonedx-gomod,30,30,31,31,96,96,30,30,0,0,0,0,30,30,0,0,1,1,30,30,0,0,66,66,yes
Edgenesis__shifu,syft,126,126,134,134,435,435,126,126,40,40,0,0,134,134,32,32,0,0,166,166,0,0,269,269,yes
Edgenesis__shifu,trivy,126,126,134,134,435,435,126,126,11,11,0,0,134,134,3,3,0,0,137,137,0,0,298,298,yes
Edgenesis__shifu,cdxgen,126,126,134,134,435,435,126,126,0,0,0,0,126,126,0,0,8,8,126,126,0,0,309,309,yes
Edgenesis__shifu,cyclonedx-gomod,126,126,134,134,435,435,118,118,1,1,8,8,118,118,1,1,16,16,119,119,0,0,316,316,yes
EngoEngine__engo,syft,17,17,21,21,45,45,17,17,14,14,0,0,21,21,10,10,0,0,31,31,0,0,14,14,yes
EngoEngine__engo,trivy,17,17,21,21,45,45,17,17,14,14,0,0,21,21,10,10,0,0,31,31,0,0,14,14,yes
EngoEngine__engo,cdxgen,17,17,21,21,45,45,17,17,0,0,0,0,17,17,0,0,4,4,17,17,0,0,28,28,yes
EngoEngine__engo,cyclonedx-gomod,17,17,21,21,45,45,17,17,7,7,0,0,17,17,7,7,4,4,24,24,0,0,21,21,yes
Eun__go-convert,syft,5,5,5,5,7,7,5,5,1,1,0,0,5,5,1,1,0,0,6,6,0,0,1,1,yes
Eun__go-convert,trivy,5,5,5,5,7,7,5,5,2,2,0,0,5,5,2,2,0,0,7,7,0,0,0,0,yes
Eun__go-convert,cdxgen,5,5,5,5,7,7,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,2,2,yes
Eun__go-convert,cyclonedx-gomod,5,5,5,5,7,7,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,2,2,yes
Eun__go-hit,syft,30,30,35,35,52,52,30,30,14,14,0,0,35,35,9,9,0,0,44,44,0,0,8,8,yes
Eun__go-hit,trivy,30,30,35,35,52,52,30,30,22,22,0,0,35,35,17,17,0,0,52,52,0,0,0,0,yes
Eun__go-hit,cdxgen,30,30,35,35,52,52,30,30,8,8,0,0,35,35,3,3,0,0,38,38,0,0,14,14,yes
