repo,gt,tool,predicted,tp,fp,fn,precision,recall,f1,tp_ver,fp_ver,fn_ver,precision_ver,recall_ver,f1_ver
daviddengcn__go-colortext,3,syft,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
daviddengcn__go-colortext,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
daviddengcn__go-colortext,3,cdxgen,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
daviddengcn__go-colortext,3,cyclonedx-gomod,0,0,0,3,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000
deatil__go-jwt,5,syft,2,2,0,3,1.0000,0.4000,0.5714,2,0,3,1.0000,0.4000,0.5714
deatil__go-jwt,5,trivy,2,2,0,3,1.0000,0.4000,0.5714,2,0,3,1.0000,0.4000,0.5714
deatil__go-jwt,5,cdxgen,2,2,0,3,1.0000,0.4000,0.5714,2,0,3,1.0000,0.4000,0.5714
deatil__go-jwt,5,cyclonedx-gomod,2,2,0,3,1.0000,0.4000,0.5714,2,0,3,1.0000,0.4000,0.5714
devfacet__gocmd,9,syft,4,4,0,5,1.0000,0.4444,0.6154,3,1,6,0.7500,0.3333,0.4615
devfacet__gocmd,9,trivy,4,4,0,5,1.0000,0.4444,0.6154,3,1,6,0.7500,0.3333,0.4615
devfacet__gocmd,9,cdxgen,4,4,0,5,1.0000,0.4444,0.6154,3,1,6,0.7500,0.3333,0.4615
devfacet__gocmd,9,cyclonedx-gomod,0,0,0,9,0.0000,0.0000,0.0000,0,0,9,0.0000,0.0000,0.0000
dghubble__gologin,74,syft,54,47,7,27,0.8704,0.6351,0.7344,30,24,44,0.5556,0.4054,0.4688
dghubble__gologin,74,trivy,43,37,6,37,0.8605,0.5000,0.6325,22,21,52,0.5116,0.2973,0.3761
dghubble__gologin,74,cdxgen,42,37,5,37,0.8810,0.5000,0.6379,36,6,38,0.8571,0.4865,0.6207
dghubble__gologin,74,cyclonedx-gomod,34,34,0,40,1.0000,0.4595,0.6296,34,0,40,1.0000,0.4595,0.6296
diegomarangoni__typenv,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
diegomarangoni__typenv,6,trivy,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
diegomarangoni__typenv,6,cdxgen,4,4,0,2,1.0000,0.6667,0.8000,4,0,2,1.0000,0.6667,0.8000
diegomarangoni__typenv,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
dixonwille__wlog,10,syft,9,9,0,1,1.0000,0.9000,0.9474,9,0,1,1.0000,0.9000,0.9474
dixonwille__wlog,10,trivy,10,10,0,0,1.0000,1.0000,1.0000,10,0,0,1.0000,1.0000,1.0000
dixonwille__wlog,10,cdxgen,1,1,0,9,1.0000,0.1000,0.1818,1,0,9,1.0000,0.1000,0.1818
dixonwille__wlog,10,cyclonedx-gomod,1,1,0,9,1.0000,0.1000,0.1818,1,0,9,1.0000,0.1000,0.1818
dixonwille__wmenu,13,syft,12,12,0,1,1.0000,0.9231,0.9600,12,0,1,1.0000,0.9231,0.9600
dixonwille__wmenu,13,trivy,13,13,0,0,1.0000,1.0000,1.0000,13,0,0,1.0000,1.0000,1.0000
dixonwille__wmenu,13,cdxgen,4,4,0,9,1.0000,0.3077,0.4706,4,0,9,1.0000,0.3077,0.4706
dixonwille__wmenu,13,cyclonedx-gomod,4,4,0,9,1.0000,0.3077,0.4706,4,0,9,1.0000,0.3077,0.4706
dnote__dnote,51,syft,40,40,0,11,1.0000,0.7843,0.8791,39,1,12,0.9750,0.7647,0.8571
dnote__dnote,51,trivy,34,34,0,17,1.0000,0.6667,0.8000,33,1,18,0.9706,0.6471,0.7765
dnote__dnote,51,cdxgen,29,29,0,22,1.0000,0.5686,0.7250,28,1,23,0.9655,0.5490,0.7000
dnote__dnote,51,cyclonedx-gomod,31,31,0,20,1.0000,0.6078,0.7561,31,0,20,1.0000,0.6078,0.7561
drone__drone,778,syft,269,268,1,510,0.9963,0.3445,0.5119,263,6,515,0.9777,0.3380,0.5024
drone__drone,778,trivy,213,213,0,565,1.0000,0.2738,0.4299,209,4,569,0.9812,0.2686,0.4218
drone__drone,778,cdxgen,214,213,1,565,0.9953,0.2738,0.4294,209,5,569,0.9766,0.2686,0.4214
drone__drone,778,cyclonedx-gomod,207,207,0,571,1.0000,0.2661,0.4203,207,0,571,1.0000,0.2661,0.4203
dsbasko__go-cfg,10,syft,9,9,0,1,1.0000,0.9000,0.9474,9,0,1,1.0000,0.9000,0.9474
dsbasko__go-cfg,10,trivy,8,8,0,2,1.0000,0.8000,0.8889,8,0,2,1.0000,0.8000,0.8889
dsbasko__go-cfg,10,cdxgen,5,5,0,5,1.0000,0.5000,0.6667,5,0,5,1.0000,0.5000,0.6667
dsbasko__go-cfg,10,cyclonedx-gomod,5,5,0,5,1.0000,0.5000,0.6667,5,0,5,1.0000,0.5000,0.6667
elves__elvish,14,syft,15,13,2,1,0.8667,0.9286,0.8966,13,2,1,0.8667,0.9286,0.8966
elves__elvish,14,trivy,16,14,2,0,0.8750,1.0000,0.9333,14,2,0,0.8750,1.0000,0.9333
elves__elvish,14,cdxgen,9,8,1,6,0.8889,0.5714,0.6957,7,2,7,0.7778,0.5000,0.6087
elves__elvish,14,cyclonedx-gomod,7,7,0,7,1.0000,0.5000,0.6667,7,0,7,1.0000,0.5000,0.6667
enetx__tg,11,syft,8,8,0,3,1.0000,0.7273,0.8421,8,0,3,1.0000,0.7273,0.8421
enetx__tg,11,trivy,7,7,0,4,1.0000,0.6364,0.7778,7,0,4,1.0000,0.6364,0.7778
enetx__tg,11,cdxgen,7,7,0,4,1.0000,0.6364,0.7778,7,0,4,1.0000,0.6364,0.7778
enetx__tg,11,cyclonedx-gomod,7,7,0,4,1.0000,0.6364,0.7778,7,0,4,1.0000,0.6364,0.7778
essentialkaos__branca,13,syft,6,6,0,7,1.0000,0.4615,0.6316,6,0,7,1.0000,0.4615,0.6316
essentialkaos__branca,13,trivy,6,6,0,7,1.0000,0.4615,0.6316,6,0,7,1.0000,0.4615,0.6316
essentialkaos__branca,13,cdxgen,2,2,0,11,1.0000,0.1538,0.2667,2,0,11,1.0000,0.1538,0.2667
essentialkaos__branca,13,cyclonedx-gomod,2,2,0,11,1.0000,0.1538,0.2667,2,0,11,1.0000,0.1538,0.2667
ethereum__go-ethereum,301,syft,181,180,1,121,0.9945,0.5980,0.7469,178,3,123,0.9834,0.5914,0.7386
ethereum__go-ethereum,301,trivy,158,157,1,144,0.9937,0.5216,0.6841,155,3,146,0.9810,0.5150,0.6754
ethereum__go-ethereum,301,cdxgen,142,142,0,159,1.0000,0.4718,0.6411,140,2,161,0.9859,0.4651,0.6321
ethereum__go-ethereum,301,cyclonedx-gomod,153,153,0,148,1.0000,0.5083,0.6740,153,0,148,1.0000,0.5083,0.6740
gagliardetto__solana-go,132,syft,89,89,0,43,1.0000,0.6742,0.8054,87,2,45,0.9775,0.6591,0.7873
gagliardetto__solana-go,132,trivy,78,78,0,54,1.0000,0.5909,0.7429,76,2,56,0.9744,0.5758,0.7238
gagliardetto__solana-go,132,cdxgen,78,78,0,54,1.0000,0.5909,0.7429,76,2,56,0.9744,0.5758,0.7238
gagliardetto__solana-go,132,cyclonedx-gomod,44,44,0,88,1.0000,0.3333,0.5000,44,0,88,1.0000,0.3333,0.5000
gizak__termui,4,syft,4,4,0,0,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000
gizak__termui,4,trivy,4,4,0,0,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000
gizak__termui,4,cdxgen,4,4,0,0,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000
gizak__termui,4,cyclonedx-gomod,4,4,0,0,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000
gnolang__gno,259,syft,412,147,265,112,0.3568,0.5676,0.4382,97,315,162,0.2354,0.3745,0.2891
gnolang__gno,259,trivy,393,131,262,128,0.3333,0.5058,0.4018,116,277,143,0.2952,0.4479,0.3558
gnolang__gno,259,cdxgen,0,0,0,259,0.0000,0.0000,0.0000,0,0,259,0.0000,0.0000,0.0000
gnolang__gno,259,cyclonedx-gomod,100,100,0,159,1.0000,0.3861,0.5571,100,0,159,1.0000,0.3861,0.5571
go-authgate__authgate,231,syft,163,163,0,68,1.0000,0.7056,0.8274,163,0,68,1.0000,0.7056,0.8274
go-authgate__authgate,231,trivy,141,141,0,90,1.0000,0.6104,0.7581,141,0,90,1.0000,0.6104,0.7581
go-authgate__authgate,231,cdxgen,141,141,0,90,1.0000,0.6104,0.7581,141,0,90,1.0000,0.6104,0.7581
go-authgate__authgate,231,cyclonedx-gomod,88,88,0,143,1.0000,0.3810,0.5517,88,0,143,1.0000,0.3810,0.5517
go-external-config__aws,25,syft,25,25,0,0,1.0000,1.0000,1.0000,25,0,0,1.0000,1.0000,1.0000
go-external-config__aws,25,trivy,21,21,0,4,1.0000,0.8400,0.9130,21,0,4,1.0000,0.8400,0.9130
go-external-config__aws,25,cdxgen,21,21,0,4,1.0000,0.8400,0.9130,21,0,4,1.0000,0.8400,0.9130
go-external-config__aws,25,cyclonedx-gomod,21,21,0,4,1.0000,0.8400,0.9130,21,0,4,1.0000,0.8400,0.9130
go-external-config__consul,103,syft,42,42,0,61,1.0000,0.4078,0.5793,42,0,61,1.0000,0.4078,0.5793
go-external-config__consul,103,trivy,23,23,0,80,1.0000,0.2233,0.3651,23,0,80,1.0000,0.2233,0.3651
go-external-config__consul,103,cdxgen,21,21,0,82,1.0000,0.2039,0.3387,21,0,82,1.0000,0.2039,0.3387
go-external-config__consul,103,cyclonedx-gomod,22,22,0,81,1.0000,0.2136,0.3520,22,0,81,1.0000,0.2136,0.3520
go-external-config__go,9,syft,8,8,0,1,1.0000,0.8889,0.9412,8,0,1,1.0000,0.8889,0.9412
go-external-config__go,9,trivy,7,7,0,2,1.0000,0.7778,0.8750,7,0,2,1.0000,0.7778,0.8750
go-external-config__go,9,cdxgen,4,4,0,5,1.0000,0.4444,0.6154,4,0,5,1.0000,0.4444,0.6154
go-external-config__go,9,cyclonedx-gomod,4,4,0,5,1.0000,0.4444,0.6154,4,0,5,1.0000,0.4444,0.6154
go-external-config__vault,59,syft,36,36,0,23,1.0000,0.6102,0.7579,36,0,23,1.0000,0.6102,0.7579
go-external-config__vault,59,trivy,29,29,0,30,1.0000,0.4915,0.6591,29,0,30,1.0000,0.4915,0.6591
go-external-config__vault,59,cdxgen,22,22,0,37,1.0000,0.3729,0.5432,22,0,37,1.0000,0.3729,0.5432
go-external-config__vault,59,cyclonedx-gomod,24,24,0,35,1.0000,0.4068,0.5783,24,0,35,1.0000,0.4068,0.5783
go-ini__ini,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
go-ini__ini,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
go-ini__ini,6,cdxgen,1,1,0,5,1.0000,0.1667,0.2857,1,0,5,1.0000,0.1667,0.2857
go-ini__ini,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
go-music-theory__music-theory,6,syft,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
go-music-theory__music-theory,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
go-music-theory__music-theory,6,cdxgen,2,2,0,4,1.0000,0.3333,0.5000,2,0,4,1.0000,0.3333,0.5000
go-music-theory__music-theory,6,cyclonedx-gomod,2,2,0,4,1.0000,0.3333,0.5000,2,0,4,1.0000,0.3333,0.5000
go-task__task,385,syft,151,151,0,234,1.0000,0.3922,0.5634,151,0,234,1.0000,0.3922,0.5634
go-task__task,385,trivy,127,127,0,258,1.0000,0.3299,0.4961,127,0,258,1.0000,0.3299,0.4961
go-task__task,385,cdxgen,124,124,0,261,1.0000,0.3221,0.4872,124,0,261,1.0000,0.3221,0.4872
go-task__task,385,cyclonedx-gomod,124,124,0,261,1.0000,0.3221,0.4872,124,0,261,1.0000,0.3221,0.4872
golang__oauth2,1,syft,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
golang__oauth2,1,trivy,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
golang__oauth2,1,cdxgen,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
golang__oauth2,1,cyclonedx-gomod,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
golobby__config,16,syft,12,12,0,4,1.0000,0.7500,0.8571,12,0,4,1.0000,0.7500,0.8571
golobby__config,16,trivy,16,16,0,0,1.0000,1.0000,1.0000,16,0,0,1.0000,1.0000,1.0000
golobby__config,16,cdxgen,5,5,0,11,1.0000,0.3125,0.4762,5,0,11,1.0000,0.3125,0.4762
golobby__config,16,cyclonedx-gomod,5,5,0,11,1.0000,0.3125,0.4762,5,0,11,1.0000,0.3125,0.4762
gookit__color,4,syft,11,4,7,0,0.3636,1.0000,0.5333,4,7,0,0.3636,1.0000,0.5333
gookit__color,4,trivy,11,4,7,0,0.3636,1.0000,0.5333,4,7,0,0.3636,1.0000,0.5333
gookit__color,4,cdxgen,8,2,6,2,0.2500,0.5000,0.3333,2,6,2,0.2500,0.5000,0.3333
gookit__color,4,cyclonedx-gomod,2,2,0,2,1.0000,0.5000,0.6667,2,0,2,1.0000,0.5000,0.6667
gookit__config,18,syft,16,16,0,2,1.0000,0.8889,0.9412,16,0,2,1.0000,0.8889,0.9412
gookit__config,18,trivy,13,13,0,5,1.0000,0.7222,0.8387,13,0,5,1.0000,0.7222,0.8387
gookit__config,18,cdxgen,13,13,0,5,1.0000,0.7222,0.8387,13,0,5,1.0000,0.7222,0.8387
gookit__config,18,cyclonedx-gomod,13,13,0,5,1.0000,0.7222,0.8387,13,0,5,1.0000,0.7222,0.8387
gopinath-langote__1build,106,syft,29,29,0,77,1.0000,0.2736,0.4296,29,0,77,1.0000,0.2736,0.4296
gopinath-langote__1build,106,trivy,26,26,0,80,1.0000,0.2453,0.3939,26,0,80,1.0000,0.2453,0.3939
gopinath-langote__1build,106,cdxgen,22,22,0,84,1.0000,0.2075,0.3438,22,0,84,1.0000,0.2075,0.3438
gopinath-langote__1build,106,cyclonedx-gomod,23,23,0,83,1.0000,0.2170,0.3566,23,0,83,1.0000,0.2170,0.3566
gopxl__beep,37,syft,25,25,0,12,1.0000,0.6757,0.8065,25,0,12,1.0000,0.6757,0.8065
gopxl__beep,37,trivy,23,23,0,14,1.0000,0.6216,0.7667,23,0,14,1.0000,0.6216,0.7667
gopxl__beep,37,cdxgen,21,21,0,16,1.0000,0.5676,0.7241,21,0,16,1.0000,0.5676,0.7241
gopxl__beep,37,cyclonedx-gomod,22,22,0,15,1.0000,0.5946,0.7458,22,0,15,1.0000,0.5946,0.7458
goraz__onion,175,syft,59,59,0,116,1.0000,0.3371,0.5043,55,4,120,0.9322,0.3143,0.4701
goraz__onion,175,trivy,26,26,0,149,1.0000,0.1486,0.2587,23,3,152,0.8846,0.1314,0.2289
goraz__onion,175,cdxgen,15,15,0,160,1.0000,0.0857,0.1579,13,2,162,0.8667,0.0743,0.1368
goraz__onion,175,cyclonedx-gomod,15,15,0,160,1.0000,0.0857,0.1579,15,0,160,1.0000,0.0857,0.1579
gosuri__uiprogress,3,syft,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
gosuri__uiprogress,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
gosuri__uiprogress,3,cdxgen,1,1,0,2,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000
gosuri__uiprogress,3,cyclonedx-gomod,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
greencoda__confiq,9,syft,9,9,0,0,1.0000,1.0000,1.0000,9,0,0,1.0000,1.0000,1.0000
greencoda__confiq,9,trivy,8,8,0,1,1.0000,0.8889,0.9412,8,0,1,1.0000,0.8889,0.9412
greencoda__confiq,9,cdxgen,8,8,0,1,1.0000,0.8889,0.9412,8,0,1,1.0000,0.8889,0.9412
greencoda__confiq,9,cyclonedx-gomod,8,8,0,1,1.0000,0.8889,0.9412,8,0,1,1.0000,0.8889,0.9412
hajimehoshi__oto,3,syft,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
hajimehoshi__oto,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
hajimehoshi__oto,3,cdxgen,1,1,0,2,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000
hajimehoshi__oto,3,cyclonedx-gomod,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
harshaneel__localaik,83,syft,23,23,0,60,1.0000,0.2771,0.4340,23,0,60,1.0000,0.2771,0.4340
harshaneel__localaik,83,trivy,22,22,0,61,1.0000,0.2651,0.4190,22,0,61,1.0000,0.2651,0.4190
harshaneel__localaik,83,cdxgen,22,22,0,61,1.0000,0.2651,0.4190,22,0,61,1.0000,0.2651,0.4190
harshaneel__localaik,83,cyclonedx-gomod,22,22,0,61,1.0000,0.2651,0.4190,22,0,61,1.0000,0.2651,0.4190
hashicorp__cli,35,syft,25,25,0,10,1.0000,0.7143,0.8333,25,0,10,1.0000,0.7143,0.8333
hashicorp__cli,35,trivy,21,21,0,14,1.0000,0.6000,0.7500,21,0,14,1.0000,0.6000,0.7500
hashicorp__cli,35,cdxgen,20,20,0,15,1.0000,0.5714,0.7273,20,0,15,1.0000,0.5714,0.7273
hashicorp__cli,35,cyclonedx-gomod,20,20,0,15,1.0000,0.5714,0.7273,20,0,15,1.0000,0.5714,0.7273
hedzr__cmdr,20,syft,12,12,0,8,1.0000,0.6000,0.7500,12,0,8,1.0000,0.6000,0.7500
hedzr__cmdr,20,trivy,12,12,0,8,1.0000,0.6000,0.7500,12,0,8,1.0000,0.6000,0.7500
hedzr__cmdr,20,cdxgen,12,12,0,8,1.0000,0.6000,0.7500,12,0,8,1.0000,0.6000,0.7500
hedzr__cmdr,20,cyclonedx-gomod,12,12,0,8,1.0000,0.6000,0.7500,12,0,8,1.0000,0.6000,0.7500
heetch__confita,131,syft,75,75,0,56,1.0000,0.5725,0.7282,72,3,59,0.9600,0.5496,0.6990
heetch__confita,131,trivy,61,61,0,70,1.0000,0.4656,0.6354,58,3,73,0.9508,0.4427,0.6042
heetch__confita,131,cdxgen,34,34,0,97,1.0000,0.2595,0.4121,32,2,99,0.9412,0.2443,0.3879
heetch__confita,131,cyclonedx-gomod,35,35,0,96,1.0000,0.2672,0.4217,35,0,96,1.0000,0.2672,0.4217
hrygo__hotplex,302,syft,185,185,0,117,1.0000,0.6126,0.7598,180,5,122,0.9730,0.5960,0.7392
hrygo__hotplex,302,trivy,0,0,0,302,0.0000,0.0000,0.0000,0,0,302,0.0000,0.0000,0.0000
hrygo__hotplex,302,cdxgen,132,130,2,172,0.9848,0.4305,0.5991,129,3,173,0.9773,0.4272,0.5945
hrygo__hotplex,302,cyclonedx-gomod,124,124,0,178,1.0000,0.4106,0.5822,124,0,178,1.0000,0.4106,0.5822
hsluoyz__casbin,3,syft,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
hsluoyz__casbin,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
hsluoyz__casbin,3,cdxgen,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
hsluoyz__casbin,3,cyclonedx-gomod,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
ianlopshire__go-ssm-config,13,syft,10,10,0,3,1.0000,0.7692,0.8696,10,0,3,1.0000,0.7692,0.8696
ianlopshire__go-ssm-config,13,trivy,13,13,0,0,1.0000,1.0000,1.0000,13,0,0,1.0000,1.0000,1.0000
ianlopshire__go-ssm-config,13,cdxgen,3,3,0,10,1.0000,0.2308,0.3750,3,0,10,1.0000,0.2308,0.3750
ianlopshire__go-ssm-config,13,cyclonedx-gomod,3,3,0,10,1.0000,0.2308,0.3750,3,0,10,1.0000,0.2308,0.3750
icza__session,1,syft,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
icza__session,1,trivy,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
icza__session,1,cdxgen,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
icza__session,1,cyclonedx-gomod,0,0,0,1,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000
ilyakaznacheev__cleanenv,5,syft,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
ilyakaznacheev__cleanenv,5,trivy,5,5,0,0,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000
ilyakaznacheev__cleanenv,5,cdxgen,4,4,0,1,1.0000,0.8000,0.8889,4,0,1,1.0000,0.8000,0.8889
ilyakaznacheev__cleanenv,5,cyclonedx-gomod,4,4,0,1,1.0000,0.8000,0.8889,4,0,1,1.0000,0.8000,0.8889
innogames__slack-bot,275,syft,104,99,5,176,0.9519,0.3600,0.5224,78,26,197,0.7500,0.2836,0.4116
innogames__slack-bot,275,trivy,79,76,3,199,0.9620,0.2764,0.4294,58,21,217,0.7342,0.2109,0.3277
innogames__slack-bot,275,cdxgen,75,73,2,202,0.9733,0.2655,0.4171,72,3,203,0.9600,0.2618,0.4114
innogames__slack-bot,275,cyclonedx-gomod,73,73,0,202,1.0000,0.2655,0.4195,73,0,202,1.0000,0.2655,0.4195
ipfs__kubo,629,syft,470,325,145,304,0.6915,0.5167,0.5914,310,160,319,0.6596,0.4928,0.5641
ipfs__kubo,629,trivy,435,290,145,339,0.6667,0.4610,0.5451,276,159,353,0.6345,0.4388,0.5188
ipfs__kubo,629,cdxgen,261,258,3,371,0.9885,0.4102,0.5798,256,5,373,0.9808,0.4070,0.5753
ipfs__kubo,629,cyclonedx-gomod,259,259,0,370,1.0000,0.4118,0.5833,259,0,370,1.0000,0.4118,0.5833
iyashjayesh__goscaf,31,syft,19,19,0,12,1.0000,0.6129,0.7600,16,3,15,0.8421,0.5161,0.6400
iyashjayesh__goscaf,31,trivy,12,12,0,19,1.0000,0.3871,0.5581,12,0,19,1.0000,0.3871,0.5581
iyashjayesh__goscaf,31,cdxgen,11,11,0,20,1.0000,0.3548,0.5238,11,0,20,1.0000,0.3548,0.5238
iyashjayesh__goscaf,31,cyclonedx-gomod,12,12,0,19,1.0000,0.3871,0.5581,12,0,19,1.0000,0.3871,0.5581
jaffee__commandeer,94,syft,4,4,0,90,1.0000,0.0426,0.0816,4,0,90,1.0000,0.0426,0.0816
jaffee__commandeer,94,trivy,94,94,0,0,1.0000,1.0000,1.0000,92,2,2,0.9787,0.9787,0.9787
jaffee__commandeer,94,cdxgen,2,2,0,92,1.0000,0.0213,0.0417,2,0,92,1.0000,0.0213,0.0417
jaffee__commandeer,94,cyclonedx-gomod,3,3,0,91,1.0000,0.0319,0.0619,3,0,91,1.0000,0.0319,0.0619
jawher__mow.cli,6,syft,5,5,0,1,1.0000,0.8333,0.9091,5,0,1,1.0000,0.8333,0.9091
jawher__mow.cli,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000
jawher__mow.cli,6,cdxgen,3,3,0,3,1.0000,0.5000,0.6667,3,0,3,1.0000,0.5000,0.6667
jawher__mow.cli,6,cyclonedx-gomod,0,0,0,6,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000
jessevdk__go-flags,11,syft,6,6,0,5,1.0000,0.5455,0.7059,6,0,5,1.0000,0.5455,0.7059
jessevdk__go-flags,11,trivy,11,11,0,0,1.0000,1.0000,1.0000,11,0,0,1.0000,1.0000,1.0000
jessevdk__go-flags,11,cdxgen,1,1,0,10,1.0000,0.0909,0.1667,1,0,10,1.0000,0.0909,0.1667
jessevdk__go-flags,11,cyclonedx-gomod,1,1,0,10,1.0000,0.0909,0.1667,1,0,10,1.0000,0.0909,0.1667
jf-tech__omniparser,126,syft,29,29,0,97,1.0000,0.2302,0.3742,26,3,100,0.8966,0.2063,0.3355
jf-tech__omniparser,126,trivy,126,126,0,0,1.0000,1.0000,1.0000,121,5,5,0.9603,0.9603,0.9603
jf-tech__omniparser,126,cdxgen,21,21,0,105,1.0000,0.1667,0.2857,19,2,107,0.9048,0.1508,0.2585
jf-tech__omniparser,126,cyclonedx-gomod,22,22,0,104,1.0000,0.1746,0.2973,22,0,104,1.0000,0.1746,0.2973
jferrl__go-githubauth,3,syft,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
jferrl__go-githubauth,3,trivy,3,3,0,0,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000
jferrl__go-githubauth,3,cdxgen,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
jferrl__go-githubauth,3,cyclonedx-gomod,2,2,0,1,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000
jltorresm__otpgo,1,syft,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jltorresm__otpgo,1,trivy,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jltorresm__otpgo,1,cdxgen,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jltorresm__otpgo,1,cyclonedx-gomod,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jmorganca__ollama,177,syft,113,113,0,64,1.0000,0.6384,0.7793,112,1,65,0.9912,0.6328,0.7724
jmorganca__ollama,177,trivy,95,95,0,82,1.0000,0.5367,0.6985,94,1,83,0.9895,0.5311,0.6912
jmorganca__ollama,177,cdxgen,71,71,0,106,1.0000,0.4011,0.5726,70,1,107,0.9859,0.3955,0.5645
jmorganca__ollama,177,cyclonedx-gomod,89,89,0,88,1.0000,0.5028,0.6692,89,0,88,1.0000,0.5028,0.6692
joerdav__xc,48,syft,38,37,1,11,0.9737,0.7708,0.8605,37,1,11,0.9737,0.7708,0.8605
joerdav__xc,48,trivy,27,26,1,22,0.9630,0.5417,0.6933,26,1,22,0.9630,0.5417,0.6933
joerdav__xc,48,cdxgen,25,25,0,23,1.0000,0.5208,0.6849,25,0,23,1.0000,0.5208,0.6849
joerdav__xc,48,cyclonedx-gomod,26,26,0,22,1.0000,0.5417,0.7027,26,0,22,1.0000,0.5417,0.7027
jon-codes__getopt,1,syft,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jon-codes__getopt,1,trivy,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jon-codes__getopt,1,cdxgen,1,1,0,0,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000
jon-codes__getopt,1,cyclonedx-gomod,0,0,0,1,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000
jroimartin__gocui,2,syft,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
jroimartin__gocui,2,trivy,2,2,0,0,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000
