repo,all,imported,direct,tool,found,P_all,R_all,F1_all,P_imp,R_imp,F1_imp,P_dir,R_dir,F1_dir
codingconcepts__env,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
codingconcepts__env,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
cometbft__cometbft,438,143,46,syft,238,100.0,54.3,70.4,60.1,100.0,75.1,19.3,100.0,32.4
cometbft__cometbft,438,143,46,trivy,191,100.0,43.6,60.7,74.9,100.0,85.6,24.1,100.0,38.8
cometbft__cometbft,438,143,46,cdxgen,143,100.0,32.6,49.2,100.0,100.0,100.0,28.0,87.0,42.3
cometbft__cometbft,438,143,46,cyclonedx-gomod,173,100.0,39.5,56.6,82.1,99.3,89.9,24.3,91.3,38.4
cosiner__argv,0,,,syft,0,0.0,0.0,0.0,,,,,,
cosiner__argv,0,,,trivy,0,0.0,0.0,0.0,,,,,,
cosiner__argv,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
cosiner__argv,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
cosmos__cosmos-sdk,756,289,77,syft,400,94.5,50.0,65.4,72.3,100.0,83.9,19.3,100.0,32.3
cosmos__cosmos-sdk,756,289,77,trivy,357,93.0,43.9,59.7,81.0,100.0,89.5,21.6,100.0,35.5
cosmos__cosmos-sdk,756,289,77,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosmos__cosmos-sdk,756,289,77,cyclonedx-gomod,315,99.7,41.5,58.6,91.1,99.3,95.0,22.5,92.2,36.2
cosmtrek__air,199,19,9,syft,102,99.0,50.8,67.1,18.6,100.0,31.4,8.8,100.0,16.2
cosmtrek__air,199,19,9,trivy,28,96.4,13.6,23.8,67.9,100.0,80.9,32.1,100.0,48.6
cosmtrek__air,199,19,9,cdxgen,19,100.0,9.5,17.4,100.0,100.0,100.0,42.1,88.9,57.1
cosmtrek__air,199,19,9,cyclonedx-gomod,19,100.0,9.5,17.4,100.0,100.0,100.0,42.1,88.9,57.1
cristalhq__acmd,0,,,syft,0,0.0,0.0,0.0,,,,,,
cristalhq__acmd,0,,,trivy,0,0.0,0.0,0.0,,,,,,
cristalhq__acmd,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
cristalhq__acmd,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
cristalhq__aconfig,1,1,1,syft,11,9.1,100.0,16.7,9.1,100.0,16.7,9.1,100.0,16.7
cristalhq__aconfig,1,1,1,trivy,11,9.1,100.0,16.7,9.1,100.0,16.7,9.1,100.0,16.7
cristalhq__aconfig,1,1,1,cdxgen,5,20.0,100.0,33.3,20.0,100.0,33.3,20.0,100.0,33.3
cristalhq__aconfig,1,1,1,cyclonedx-gomod,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cristalhq__jwt,0,,,syft,0,0.0,0.0,0.0,,,,,,
cristalhq__jwt,0,,,trivy,0,0.0,0.0,0.0,,,,,,
cristalhq__jwt,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
cristalhq__jwt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
cyucelen__marker,10,4,2,syft,9,100.0,90.0,94.7,44.4,100.0,61.5,22.2,100.0,36.4
cyucelen__marker,10,4,2,trivy,10,100.0,100.0,100.0,40.0,100.0,57.1,20.0,100.0,33.3
cyucelen__marker,10,4,2,cdxgen,4,100.0,40.0,57.1,100.0,100.0,100.0,25.0,50.0,33.3
cyucelen__marker,10,4,2,cyclonedx-gomod,4,100.0,40.0,57.1,100.0,100.0,100.0,25.0,50.0,33.3
dakera-ai__dakera-go,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
dakera-ai__dakera-go,6,,1,trivy,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
dakera-ai__dakera-go,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
dakera-ai__dakera-go,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
daviddengcn__go-colortext,3,,1,syft,3,100.0,100.0,100.0,,,,33.3,100.0,50.0
daviddengcn__go-colortext,3,,1,trivy,3,100.0,100.0,100.0,,,,33.3,100.0,50.0
daviddengcn__go-colortext,3,,1,cdxgen,2,100.0,66.7,80.0,,,,50.0,100.0,66.7
daviddengcn__go-colortext,3,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
deatil__go-array,0,,,syft,0,0.0,0.0,0.0,,,,,,
deatil__go-array,0,,,trivy,0,0.0,0.0,0.0,,,,,,
deatil__go-array,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
deatil__go-array,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
deatil__go-jwt,5,2,1,syft,2,100.0,40.0,57.1,100.0,100.0,100.0,50.0,100.0,66.7
deatil__go-jwt,5,2,1,trivy,2,100.0,40.0,57.1,100.0,100.0,100.0,50.0,100.0,66.7
deatil__go-jwt,5,2,1,cdxgen,2,100.0,40.0,57.1,100.0,100.0,100.0,50.0,100.0,66.7
deatil__go-jwt,5,2,1,cyclonedx-gomod,2,100.0,40.0,57.1,100.0,100.0,100.0,50.0,100.0,66.7
devfacet__gocmd,9,,1,syft,4,100.0,44.4,61.5,,,,25.0,100.0,40.0
devfacet__gocmd,9,,1,trivy,4,100.0,44.4,61.5,,,,25.0,100.0,40.0
devfacet__gocmd,9,,1,cdxgen,4,100.0,44.4,61.5,,,,25.0,100.0,40.0
devfacet__gocmd,9,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
dghubble__gologin,74,34,7,syft,54,87.0,63.5,73.4,63.0,100.0,77.3,13.0,100.0,23.0
dghubble__gologin,74,34,7,trivy,43,86.0,50.0,63.2,79.1,100.0,88.3,16.3,100.0,28.0
dghubble__gologin,74,34,7,cdxgen,42,88.1,50.0,63.8,81.0,100.0,89.5,16.7,100.0,28.6
dghubble__gologin,74,34,7,cyclonedx-gomod,34,100.0,45.9,63.0,100.0,100.0,100.0,20.6,100.0,34.1
dh1tw__gosamplerate,0,,,syft,0,0.0,0.0,0.0,,,,,,
dh1tw__gosamplerate,0,,,trivy,0,0.0,0.0,0.0,,,,,,
dh1tw__gosamplerate,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
dh1tw__gosamplerate,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
diegomarangoni__typenv,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
diegomarangoni__typenv,6,,1,trivy,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
diegomarangoni__typenv,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
diegomarangoni__typenv,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
dixonwille__wlog,10,1,2,syft,9,100.0,90.0,94.7,11.1,100.0,20.0,22.2,100.0,36.4
dixonwille__wlog,10,1,2,trivy,10,100.0,100.0,100.0,10.0,100.0,18.2,20.0,100.0,33.3
dixonwille__wlog,10,1,2,cdxgen,1,100.0,10.0,18.2,100.0,100.0,100.0,100.0,50.0,66.7
dixonwille__wlog,10,1,2,cyclonedx-gomod,1,100.0,10.0,18.2,100.0,100.0,100.0,100.0,50.0,66.7
dixonwille__wmenu,13,4,3,syft,12,100.0,92.3,96.0,33.3,100.0,50.0,25.0,100.0,40.0
dixonwille__wmenu,13,4,3,trivy,13,100.0,100.0,100.0,30.8,100.0,47.1,23.1,100.0,37.5
dixonwille__wmenu,13,4,3,cdxgen,4,100.0,30.8,47.1,100.0,100.0,100.0,50.0,66.7,57.1
dixonwille__wmenu,13,4,3,cyclonedx-gomod,4,100.0,30.8,47.1,100.0,100.0,100.0,50.0,66.7,57.1
dnote__dnote,51,29,19,syft,40,100.0,78.4,87.9,72.5,100.0,84.1,47.5,100.0,64.4
dnote__dnote,51,29,19,trivy,34,100.0,66.7,80.0,85.3,100.0,92.1,55.9,100.0,71.7
dnote__dnote,51,29,19,cdxgen,29,100.0,56.9,72.5,100.0,100.0,100.0,65.5,100.0,79.2
dnote__dnote,51,29,19,cyclonedx-gomod,31,100.0,60.8,75.6,93.5,100.0,96.7,61.3,100.0,76.0
drone__drone,778,,106,syft,269,99.6,34.4,51.2,,,,39.4,100.0,56.5
drone__drone,778,,106,trivy,213,100.0,27.4,43.0,,,,49.8,100.0,66.5
drone__drone,778,,106,cdxgen,214,99.5,27.4,42.9,,,,49.5,100.0,66.3
drone__drone,778,,106,cyclonedx-gomod,207,100.0,26.6,42.0,,,,49.8,97.2,65.8
dsbasko__go-cfg,10,5,6,syft,9,100.0,90.0,94.7,55.6,100.0,71.4,66.7,100.0,80.0
dsbasko__go-cfg,10,5,6,trivy,8,100.0,80.0,88.9,62.5,100.0,76.9,75.0,100.0,85.7
dsbasko__go-cfg,10,5,6,cdxgen,5,100.0,50.0,66.7,100.0,100.0,100.0,100.0,83.3,90.9
dsbasko__go-cfg,10,5,6,cyclonedx-gomod,5,100.0,50.0,66.7,100.0,100.0,100.0,100.0,83.3,90.9
elves__elvish,14,7,8,syft,15,86.7,92.9,89.7,46.7,100.0,63.6,53.3,100.0,69.6
elves__elvish,14,7,8,trivy,16,87.5,100.0,93.3,43.8,100.0,60.9,50.0,100.0,66.7
elves__elvish,14,7,8,cdxgen,9,88.9,57.1,69.6,77.8,100.0,87.5,88.9,100.0,94.1
elves__elvish,14,7,8,cyclonedx-gomod,7,100.0,50.0,66.7,100.0,100.0,100.0,100.0,87.5,93.3
enetx__tg,11,7,3,syft,8,100.0,72.7,84.2,87.5,100.0,93.3,37.5,100.0,54.5
enetx__tg,11,7,3,trivy,7,100.0,63.6,77.8,100.0,100.0,100.0,42.9,100.0,60.0
enetx__tg,11,7,3,cdxgen,7,100.0,63.6,77.8,100.0,100.0,100.0,42.9,100.0,60.0
enetx__tg,11,7,3,cyclonedx-gomod,7,100.0,63.6,77.8,100.0,100.0,100.0,42.9,100.0,60.0
ergo-services__ergo,0,,,syft,0,0.0,0.0,0.0,,,,,,
ergo-services__ergo,0,,,trivy,0,0.0,0.0,0.0,,,,,,
ergo-services__ergo,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
ergo-services__ergo,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
essentialkaos__branca,13,2,2,syft,6,100.0,46.2,63.2,33.3,100.0,50.0,33.3,100.0,50.0
essentialkaos__branca,13,2,2,trivy,6,100.0,46.2,63.2,33.3,100.0,50.0,33.3,100.0,50.0
essentialkaos__branca,13,2,2,cdxgen,2,100.0,15.4,26.7,100.0,100.0,100.0,50.0,50.0,50.0
essentialkaos__branca,13,2,2,cyclonedx-gomod,2,100.0,15.4,26.7,100.0,100.0,100.0,50.0,50.0,50.0
ethereum__go-ethereum,301,142,79,syft,181,99.4,59.8,74.7,78.5,100.0,87.9,43.6,100.0,60.8
ethereum__go-ethereum,301,142,79,trivy,158,99.4,52.2,68.4,89.9,100.0,94.7,50.0,100.0,66.7
ethereum__go-ethereum,301,142,79,cdxgen,142,100.0,47.2,64.1,100.0,100.0,100.0,48.6,87.3,62.4
ethereum__go-ethereum,301,142,79,cyclonedx-gomod,153,100.0,50.8,67.4,92.8,100.0,96.3,49.7,96.2,65.5
fulldump__goconfig,0,,,syft,0,0.0,0.0,0.0,,,,,,
fulldump__goconfig,0,,,trivy,0,0.0,0.0,0.0,,,,,,
fulldump__goconfig,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
fulldump__goconfig,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
gagliardetto__solana-go,132,65,33,syft,89,100.0,67.4,80.5,73.0,100.0,84.4,37.1,100.0,54.1
gagliardetto__solana-go,132,65,33,trivy,78,100.0,59.1,74.3,83.3,100.0,90.9,42.3,100.0,59.5
gagliardetto__solana-go,132,65,33,cdxgen,78,100.0,59.1,74.3,83.3,100.0,90.9,42.3,100.0,59.5
gagliardetto__solana-go,132,65,33,cyclonedx-gomod,44,100.0,33.3,50.0,97.7,66.2,78.9,59.1,78.8,67.5
gempir__go-twitch-irc,0,,,syft,0,0.0,0.0,0.0,,,,,,
gempir__go-twitch-irc,0,,,trivy,0,0.0,0.0,0.0,,,,,,
gempir__go-twitch-irc,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
gempir__go-twitch-irc,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
gen2brain__malgo,0,,,syft,0,0.0,0.0,0.0,,,,,,
gen2brain__malgo,0,,,trivy,0,0.0,0.0,0.0,,,,,,
gen2brain__malgo,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
gen2brain__malgo,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
gizak__termui,4,4,3,syft,4,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,85.7
gizak__termui,4,4,3,trivy,4,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,85.7
gizak__termui,4,4,3,cdxgen,4,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,85.7
gizak__termui,4,4,3,cyclonedx-gomod,4,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,85.7
gnolang__gno,259,98,56,syft,412,35.7,56.8,43.8,23.8,100.0,38.4,13.6,100.0,23.9
gnolang__gno,259,98,56,trivy,393,33.3,50.6,40.2,24.9,100.0,39.9,14.2,100.0,24.9
gnolang__gno,259,98,56,cdxgen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnolang__gno,259,98,56,cyclonedx-gomod,100,100.0,38.6,55.7,98.0,100.0,99.0,54.0,96.4,69.2
go-authgate__authgate,231,77,30,syft,163,100.0,70.6,82.7,47.2,100.0,64.2,18.4,100.0,31.1
go-authgate__authgate,231,77,30,trivy,141,100.0,61.0,75.8,54.6,100.0,70.6,21.3,100.0,35.1
go-authgate__authgate,231,77,30,cdxgen,141,100.0,61.0,75.8,54.6,100.0,70.6,21.3,100.0,35.1
go-authgate__authgate,231,77,30,cyclonedx-gomod,88,100.0,38.1,55.2,87.5,100.0,93.3,30.7,90.0,45.8
go-external-config__aws,25,21,6,syft,25,100.0,100.0,100.0,84.0,100.0,91.3,24.0,100.0,38.7
go-external-config__aws,25,21,6,trivy,21,100.0,84.0,91.3,100.0,100.0,100.0,28.6,100.0,44.4
go-external-config__aws,25,21,6,cdxgen,21,100.0,84.0,91.3,100.0,100.0,100.0,28.6,100.0,44.4
go-external-config__aws,25,21,6,cyclonedx-gomod,21,100.0,84.0,91.3,100.0,100.0,100.0,28.6,100.0,44.4
go-external-config__consul,103,21,3,syft,42,100.0,40.8,57.9,50.0,100.0,66.7,7.1,100.0,13.3
go-external-config__consul,103,21,3,trivy,23,100.0,22.3,36.5,91.3,100.0,95.5,13.0,100.0,23.1
go-external-config__consul,103,21,3,cdxgen,21,100.0,20.4,33.9,100.0,100.0,100.0,14.3,100.0,25.0
go-external-config__consul,103,21,3,cyclonedx-gomod,22,100.0,21.4,35.2,95.5,100.0,97.7,13.6,100.0,24.0
go-external-config__go,9,4,5,syft,8,100.0,88.9,94.1,50.0,100.0,66.7,62.5,100.0,76.9
go-external-config__go,9,4,5,trivy,7,100.0,77.8,87.5,57.1,100.0,72.7,71.4,100.0,83.3
go-external-config__go,9,4,5,cdxgen,4,100.0,44.4,61.5,100.0,100.0,100.0,100.0,80.0,88.9
go-external-config__go,9,4,5,cyclonedx-gomod,4,100.0,44.4,61.5,100.0,100.0,100.0,100.0,80.0,88.9
go-external-config__vault,59,22,3,syft,36,100.0,61.0,75.8,61.1,100.0,75.9,8.3,100.0,15.4
go-external-config__vault,59,22,3,trivy,29,100.0,49.2,65.9,75.9,100.0,86.3,10.3,100.0,18.8
go-external-config__vault,59,22,3,cdxgen,22,100.0,37.3,54.3,100.0,100.0,100.0,13.6,100.0,24.0
go-external-config__vault,59,22,3,cyclonedx-gomod,24,100.0,40.7,57.8,91.7,100.0,95.7,12.5,100.0,22.2
go-ini__ini,6,,1,syft,5,100.0,83.3,90.9,,,,20.0,100.0,33.3
go-ini__ini,6,,1,trivy,6,100.0,100.0,100.0,,,,16.7,100.0,28.6
go-ini__ini,6,,1,cdxgen,1,100.0,16.7,28.6,,,,100.0,100.0,100.0
go-ini__ini,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
go-jose__go-jose,0,,,syft,0,0.0,0.0,0.0,,,,,,
go-jose__go-jose,0,,,trivy,0,0.0,0.0,0.0,,,,,,
go-jose__go-jose,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
go-jose__go-jose,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
go-music-theory__music-theory,6,2,3,syft,6,100.0,100.0,100.0,33.3,100.0,50.0,50.0,100.0,66.7
go-music-theory__music-theory,6,2,3,trivy,6,100.0,100.0,100.0,33.3,100.0,50.0,50.0,100.0,66.7
go-music-theory__music-theory,6,2,3,cdxgen,2,100.0,33.3,50.0,100.0,100.0,100.0,100.0,66.7,80.0
go-music-theory__music-theory,6,2,3,cyclonedx-gomod,2,100.0,33.3,50.0,100.0,100.0,100.0,100.0,66.7,80.0
go-task__task,385,124,29,syft,151,100.0,39.2,56.3,82.1,100.0,90.2,19.2,100.0,32.2
go-task__task,385,124,29,trivy,127,100.0,33.0,49.6,97.6,100.0,98.8,22.8,100.0,37.2
go-task__task,385,124,29,cdxgen,124,100.0,32.2,48.7,100.0,100.0,100.0,22.6,96.6,36.6
go-task__task,385,124,29,cyclonedx-gomod,124,100.0,32.2,48.7,99.2,99.2,99.2,22.6,96.6,36.6
go-telegram-bot-api__telegram-bot-api,0,,,syft,0,0.0,0.0,0.0,,,,,,
go-telegram-bot-api__telegram-bot-api,0,,,trivy,0,0.0,0.0,0.0,,,,,,
go-telegram-bot-api__telegram-bot-api,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
go-telegram-bot-api__telegram-bot-api,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
go-telegram__bot,0,,,syft,0,0.0,0.0,0.0,,,,,,
go-telegram__bot,0,,,trivy,0,0.0,0.0,0.0,,,,,,
go-telegram__bot,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
go-telegram__bot,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
golang-jwt__jwt,0,,,syft,0,0.0,0.0,0.0,,,,,,
golang-jwt__jwt,0,,,trivy,0,0.0,0.0,0.0,,,,,,
golang-jwt__jwt,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
golang-jwt__jwt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
golang__oauth2,1,1,1,syft,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
golang__oauth2,1,1,1,trivy,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
golang__oauth2,1,1,1,cdxgen,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
golang__oauth2,1,1,1,cyclonedx-gomod,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
golobby__config,16,5,5,syft,12,100.0,75.0,85.7,41.7,100.0,58.8,41.7,100.0,58.8
golobby__config,16,5,5,trivy,16,100.0,100.0,100.0,31.3,100.0,47.6,31.3,100.0,47.6
golobby__config,16,5,5,cdxgen,5,100.0,31.3,47.6,100.0,100.0,100.0,80.0,80.0,80.0
golobby__config,16,5,5,cyclonedx-gomod,5,100.0,31.3,47.6,100.0,100.0,100.0,80.0,80.0,80.0
gookit__color,4,1,3,syft,11,36.4,100.0,53.3,9.1,100.0,16.7,27.3,100.0,42.9
gookit__color,4,1,3,trivy,11,36.4,100.0,53.3,9.1,100.0,16.7,27.3,100.0,42.9
gookit__color,4,1,3,cdxgen,8,25.0,50.0,33.3,12.5,100.0,22.2,25.0,66.7,36.4
gookit__color,4,1,3,cyclonedx-gomod,2,100.0,50.0,66.7,50.0,100.0,66.7,100.0,66.7,80.0
gookit__config,18,13,9,syft,16,100.0,88.9,94.1,81.3,100.0,89.7,56.3,100.0,72.0
gookit__config,18,13,9,trivy,13,100.0,72.2,83.9,100.0,100.0,100.0,69.2,100.0,81.8
gookit__config,18,13,9,cdxgen,13,100.0,72.2,83.9,100.0,100.0,100.0,69.2,100.0,81.8
gookit__config,18,13,9,cyclonedx-gomod,13,100.0,72.2,83.9,100.0,100.0,100.0,69.2,100.0,81.8
gopinath-langote__1build,106,22,7,syft,29,100.0,27.4,43.0,75.9,100.0,86.3,24.1,100.0,38.9
gopinath-langote__1build,106,22,7,trivy,26,100.0,24.5,39.4,84.6,100.0,91.7,26.9,100.0,42.4
gopinath-langote__1build,106,22,7,cdxgen,22,100.0,20.8,34.4,100.0,100.0,100.0,31.8,100.0,48.3
gopinath-langote__1build,106,22,7,cyclonedx-gomod,23,100.0,21.7,35.7,95.7,100.0,97.8,30.4,100.0,46.7
gopxl__beep,37,21,9,syft,25,100.0,67.6,80.6,84.0,100.0,91.3,36.0,100.0,52.9
gopxl__beep,37,21,9,trivy,23,100.0,62.2,76.7,91.3,100.0,95.5,39.1,100.0,56.3
gopxl__beep,37,21,9,cdxgen,21,100.0,56.8,72.4,100.0,100.0,100.0,38.1,88.9,53.3
gopxl__beep,37,21,9,cyclonedx-gomod,22,100.0,59.5,74.6,95.5,100.0,97.7,36.4,88.9,51.6
goraz__onion,175,15,10,syft,59,100.0,33.7,50.4,25.4,100.0,40.5,16.9,100.0,29.0
goraz__onion,175,15,10,trivy,26,100.0,14.9,25.9,57.7,100.0,73.2,38.5,100.0,55.6
goraz__onion,175,15,10,cdxgen,15,100.0,8.6,15.8,100.0,100.0,100.0,60.0,90.0,72.0
goraz__onion,175,15,10,cyclonedx-gomod,15,100.0,8.6,15.8,100.0,100.0,100.0,60.0,90.0,72.0
gordonklaus__portaudio,0,1,1,syft,1,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
gordonklaus__portaudio,0,1,1,trivy,1,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
gordonklaus__portaudio,0,1,1,cdxgen,1,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
gordonklaus__portaudio,0,1,1,cyclonedx-gomod,1,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
gosuri__uilive,0,,,syft,0,0.0,0.0,0.0,,,,,,
gosuri__uilive,0,,,trivy,0,0.0,0.0,0.0,,,,,,
gosuri__uilive,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
gosuri__uilive,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
gosuri__uiprogress,3,1,1,syft,2,100.0,66.7,80.0,50.0,100.0,66.7,50.0,100.0,66.7
gosuri__uiprogress,3,1,1,trivy,3,100.0,100.0,100.0,33.3,100.0,50.0,33.3,100.0,50.0
gosuri__uiprogress,3,1,1,cdxgen,1,100.0,33.3,50.0,100.0,100.0,100.0,100.0,100.0,100.0
gosuri__uiprogress,3,1,1,cyclonedx-gomod,3,100.0,100.0,100.0,33.3,100.0,50.0,33.3,100.0,50.0
goyek__goyek,0,,,syft,209,0.0,0.0,0.0,,,,,,
goyek__goyek,0,,,trivy,209,0.0,0.0,0.0,,,,,,
goyek__goyek,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
goyek__goyek,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
greencoda__confiq,9,8,4,syft,9,100.0,100.0,100.0,88.9,100.0,94.1,44.4,100.0,61.5
greencoda__confiq,9,8,4,trivy,8,100.0,88.9,94.1,100.0,100.0,100.0,50.0,100.0,66.7
greencoda__confiq,9,8,4,cdxgen,8,100.0,88.9,94.1,100.0,100.0,100.0,50.0,100.0,66.7
greencoda__confiq,9,8,4,cyclonedx-gomod,8,100.0,88.9,94.1,100.0,100.0,100.0,50.0,100.0,66.7
grijul__otpgen,0,,,syft,0,0.0,0.0,0.0,,,,,,
grijul__otpgen,0,,,trivy,0,0.0,0.0,0.0,,,,,,
grijul__otpgen,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
grijul__otpgen,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
guptarohit__asciigraph,0,,,syft,0,0.0,0.0,0.0,,,,,,
guptarohit__asciigraph,0,,,trivy,0,0.0,0.0,0.0,,,,,,
guptarohit__asciigraph,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
guptarohit__asciigraph,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
hajimehoshi__oto,3,1,3,syft,3,100.0,100.0,100.0,33.3,100.0,50.0,100.0,100.0,100.0
hajimehoshi__oto,3,1,3,trivy,3,100.0,100.0,100.0,33.3,100.0,50.0,100.0,100.0,100.0
hajimehoshi__oto,3,1,3,cdxgen,1,100.0,33.3,50.0,100.0,100.0,100.0,100.0,33.3,50.0
hajimehoshi__oto,3,1,3,cyclonedx-gomod,3,100.0,100.0,100.0,33.3,100.0,50.0,100.0,100.0,100.0
harshaneel__localaik,83,22,2,syft,23,100.0,27.7,43.4,95.7,100.0,97.8,8.7,100.0,16.0
harshaneel__localaik,83,22,2,trivy,22,100.0,26.5,41.9,100.0,100.0,100.0,9.1,100.0,16.7
harshaneel__localaik,83,22,2,cdxgen,22,100.0,26.5,41.9,100.0,100.0,100.0,9.1,100.0,16.7
harshaneel__localaik,83,22,2,cyclonedx-gomod,22,100.0,26.5,41.9,100.0,100.0,100.0,9.1,100.0,16.7
hashicorp__cli,35,20,6,syft,25,100.0,71.4,83.3,80.0,100.0,88.9,24.0,100.0,38.7
hashicorp__cli,35,20,6,trivy,21,100.0,60.0,75.0,95.2,100.0,97.6,28.6,100.0,44.4
hashicorp__cli,35,20,6,cdxgen,20,100.0,57.1,72.7,100.0,100.0,100.0,30.0,100.0,46.2
hashicorp__cli,35,20,6,cyclonedx-gomod,20,100.0,57.1,72.7,100.0,100.0,100.0,30.0,100.0,46.2
hedzr__cmdr,20,12,8,syft,12,100.0,60.0,75.0,100.0,100.0,100.0,66.7,100.0,80.0
hedzr__cmdr,20,12,8,trivy,12,100.0,60.0,75.0,100.0,100.0,100.0,66.7,100.0,80.0
hedzr__cmdr,20,12,8,cdxgen,12,100.0,60.0,75.0,100.0,100.0,100.0,66.7,100.0,80.0
hedzr__cmdr,20,12,8,cyclonedx-gomod,12,100.0,60.0,75.0,100.0,100.0,100.0,66.7,100.0,80.0
heetch__confita,131,34,8,syft,75,100.0,57.3,72.8,45.3,100.0,62.4,10.7,100.0,19.3
heetch__confita,131,34,8,trivy,61,100.0,46.6,63.5,55.7,100.0,71.6,13.1,100.0,23.2
heetch__confita,131,34,8,cdxgen,34,100.0,26.0,41.2,100.0,100.0,100.0,20.6,87.5,33.3
heetch__confita,131,34,8,cyclonedx-gomod,35,100.0,26.7,42.2,97.1,100.0,98.6,20.0,87.5,32.6
hjson__hjson-go,0,,,syft,0,0.0,0.0,0.0,,,,,,
hjson__hjson-go,0,,,trivy,0,0.0,0.0,0.0,,,,,,
hjson__hjson-go,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
hjson__hjson-go,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
hrygo__hotplex,302,,43,syft,185,100.0,61.3,76.0,,,,23.2,100.0,37.7
hrygo__hotplex,302,,43,trivy,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
hrygo__hotplex,302,,43,cdxgen,132,98.5,43.0,59.9,,,,32.6,100.0,49.1
hrygo__hotplex,302,,43,cyclonedx-gomod,124,100.0,41.1,58.2,,,,32.3,93.0,47.9
