repo,all,imported,tool,predicted,tp_all,fp_all,fn_all,f1_all_name,f1_all_ver,tp_imp,fp_imp,fn_imp,f1_imp_name,f1_imp_ver
bebop__poly,22,7,cdxgen,7,7,0,15,48.3,48.3,7,0,0,100.0,100.0
bebop__poly,22,7,cyclonedx-gomod,7,7,0,15,48.3,48.3,7,0,0,100.0,100.0
becheran__roumon,12,5,syft,10,10,0,2,90.9,90.9,5,5,0,66.7,66.7
becheran__roumon,12,5,trivy,9,9,0,3,85.7,85.7,5,4,0,71.4,71.4
becheran__roumon,12,5,cdxgen,5,5,0,7,58.8,58.8,5,0,0,100.0,100.0
becheran__roumon,12,5,cyclonedx-gomod,5,5,0,7,58.8,58.8,5,0,0,100.0,100.0
beego__beego,198,71,syft,96,96,0,102,65.3,63.9,71,25,0,85.0,81.4
beego__beego,198,71,trivy,78,78,0,120,56.5,55.1,71,7,0,95.3,91.3
beego__beego,198,71,cdxgen,71,71,0,127,52.8,50.6,71,0,0,100.0,95.8
beego__beego,198,71,cyclonedx-gomod,71,71,0,127,52.8,52.8,71,0,0,100.0,98.6
bengadbois__pewpew,38,19,syft,30,30,0,8,88.2,88.2,19,11,0,77.6,77.6
bengadbois__pewpew,38,19,trivy,21,21,0,17,71.2,71.2,19,2,0,95.0,95.0
bengadbois__pewpew,38,19,cdxgen,19,19,0,19,66.7,66.7,19,0,0,100.0,100.0
bengadbois__pewpew,38,19,cyclonedx-gomod,20,20,0,18,69.0,69.0,19,1,0,97.4,97.4
benmanns__goworker,13,4,syft,9,9,0,4,81.8,72.7,4,5,0,61.5,46.2
benmanns__goworker,13,4,trivy,13,13,0,0,100.0,92.3,4,9,0,47.1,35.3
benmanns__goworker,13,4,cdxgen,4,4,0,9,47.1,35.3,4,0,0,100.0,75.0
benmanns__goworker,13,4,cyclonedx-gomod,4,4,0,9,47.1,47.1,4,0,0,100.0,100.0
benthosdev__benthos,1409,498,syft,695,687,8,722,65.3,59.7,498,197,0,83.5,76.6
benthosdev__benthos,1409,498,trivy,570,563,7,846,56.9,55.3,498,72,0,93.3,92.3
benthosdev__benthos,1409,498,cdxgen,0,0,0,1409,0.0,0.0,0,0,498,0.0,0.0
benthosdev__benthos,1409,498,cyclonedx-gomod,522,521,1,888,54.0,54.0,496,26,2,97.3,97.3
bhmj__jsonslice,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bhmj__jsonslice,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bhmj__jsonslice,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bhmj__jsonslice,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bhope__hedge,39,6,syft,22,19,3,20,62.3,62.3,6,16,0,42.9,42.9
bhope__hedge,39,6,trivy,9,6,3,33,25.0,25.0,6,3,0,80.0,80.0
bhope__hedge,39,6,cdxgen,7,6,1,33,26.1,26.1,6,1,0,92.3,92.3
bhope__hedge,39,6,cyclonedx-gomod,6,6,0,33,26.7,26.7,6,0,0,100.0,100.0
bitfield__gotestdox,12,5,syft,8,8,0,4,80.0,80.0,5,3,0,76.9,76.9
bitfield__gotestdox,12,5,trivy,8,8,0,4,80.0,80.0,5,3,0,76.9,76.9
bitfield__gotestdox,12,5,cdxgen,5,5,0,7,58.8,58.8,5,0,0,100.0,100.0
bitfield__gotestdox,12,5,cyclonedx-gomod,5,5,0,7,58.8,58.8,5,0,0,100.0,100.0
bitfield__script,23,3,syft,10,10,0,13,60.6,60.6,3,7,0,46.2,46.2
bitfield__script,23,3,trivy,7,7,0,16,46.7,46.7,3,4,0,60.0,60.0
bitfield__script,23,3,cdxgen,3,3,0,20,23.1,23.1,3,0,0,100.0,100.0
bitfield__script,23,3,cyclonedx-gomod,3,3,0,20,23.1,23.1,3,0,0,100.0,100.0
bitfield__uptimerobot,246,16,syft,26,26,0,220,19.1,19.1,16,10,0,76.2,76.2
bitfield__uptimerobot,246,16,trivy,246,246,0,0,100.0,98.4,16,230,0,12.2,12.2
bitfield__uptimerobot,246,16,cdxgen,16,16,0,230,12.2,12.2,16,0,0,100.0,100.0
bitfield__uptimerobot,246,16,cyclonedx-gomod,19,19,0,227,14.3,14.3,16,3,0,91.4,91.4
bits-and-blooms__bloom,2,1,syft,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
bits-and-blooms__bloom,2,1,trivy,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
bits-and-blooms__bloom,2,1,cdxgen,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bits-and-blooms__bloom,2,1,cyclonedx-gomod,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bleenco__abstruse,553,111,syft,153,153,0,400,43.3,41.9,111,42,0,84.1,80.3
bleenco__abstruse,553,111,trivy,124,124,0,429,36.6,35.2,111,13,0,94.5,90.2
bleenco__abstruse,553,111,cdxgen,124,124,0,429,36.6,35.2,111,13,0,94.5,90.2
bleenco__abstruse,553,111,cyclonedx-gomod,123,123,0,430,36.4,36.4,111,12,0,94.9,94.9
blevesearch__bleve,64,34,syft,51,51,0,13,88.7,88.7,34,17,0,80.0,80.0
blevesearch__bleve,64,34,trivy,37,37,0,27,73.3,73.3,34,3,0,95.8,95.8
blevesearch__bleve,64,34,cdxgen,34,34,0,30,69.4,69.4,34,0,0,100.0,100.0
blevesearch__bleve,64,34,cyclonedx-gomod,36,36,0,28,72.0,72.0,34,2,0,97.1,97.1
blind-oracle__cortex-tenant,578,191,syft,291,291,0,287,67.0,65.8,191,100,0,79.3,78.0
blind-oracle__cortex-tenant,578,191,trivy,200,200,0,378,51.4,50.6,191,9,0,97.7,96.2
blind-oracle__cortex-tenant,578,191,cdxgen,191,191,0,387,49.7,48.9,191,0,0,100.0,98.4
blind-oracle__cortex-tenant,578,191,cyclonedx-gomod,195,195,0,383,50.5,50.5,187,8,4,96.9,96.9
blind-oracle__nginx-prometheus,213,14,syft,23,23,0,190,19.5,19.5,14,9,0,75.7,75.7
blind-oracle__nginx-prometheus,213,14,trivy,213,213,0,0,100.0,96.7,14,199,0,12.3,12.3
blind-oracle__nginx-prometheus,213,14,cdxgen,14,14,0,199,12.3,12.3,14,0,0,100.0,100.0
blind-oracle__nginx-prometheus,213,14,cyclonedx-gomod,14,14,0,199,12.3,12.3,14,0,0,100.0,100.0
blind-oracle__psql-streamer,120,33,syft,58,53,5,67,59.6,55.1,33,25,0,72.5,70.3
blind-oracle__psql-streamer,120,33,trivy,125,120,5,0,98.0,93.1,33,92,0,41.8,40.5
blind-oracle__psql-streamer,120,33,cdxgen,33,33,0,87,43.1,41.8,33,0,0,100.0,97.0
blind-oracle__psql-streamer,120,33,cyclonedx-gomod,33,33,0,87,43.1,43.1,33,0,0,100.0,100.0
blinklabs-io__nview,64,22,syft,38,38,0,26,74.5,74.5,22,16,0,73.3,73.3
blinklabs-io__nview,64,22,trivy,31,31,0,33,65.3,65.3,22,9,0,83.0,83.0
blinklabs-io__nview,64,22,cdxgen,22,22,0,42,51.2,51.2,22,0,0,100.0,100.0
blinklabs-io__nview,64,22,cyclonedx-gomod,27,27,0,37,59.3,59.3,22,5,0,89.8,89.8
blockloop__scan,16,1,syft,10,10,0,6,76.9,69.2,1,9,0,18.2,18.2
blockloop__scan,16,1,trivy,9,8,1,8,64.0,64.0,1,8,0,20.0,20.0
blockloop__scan,16,1,cdxgen,8,8,0,8,66.7,66.7,1,7,0,22.2,22.2
blockloop__scan,16,1,cyclonedx-gomod,1,1,0,15,11.8,11.8,1,0,0,100.0,100.0
bluetuith-org__bluetuith,69,41,syft,47,47,0,22,81.0,81.0,41,6,0,93.2,93.2
bluetuith-org__bluetuith,69,41,trivy,41,41,0,28,74.5,74.5,41,0,0,100.0,100.0
bluetuith-org__bluetuith,69,41,cdxgen,41,41,0,28,74.5,74.5,41,0,0,100.0,100.0
bluetuith-org__bluetuith,69,41,cyclonedx-gomod,41,41,0,28,74.5,74.5,41,0,0,100.0,100.0
bmf-san__ggc,9,4,syft,6,6,0,3,80.0,80.0,4,2,0,80.0,80.0
bmf-san__ggc,9,4,trivy,9,9,0,0,100.0,100.0,4,5,0,61.5,61.5
bmf-san__ggc,9,4,cdxgen,4,4,0,5,61.5,61.5,4,0,0,100.0,100.0
bmf-san__ggc,9,4,cyclonedx-gomod,4,4,0,5,61.5,61.5,4,0,0,100.0,100.0
bmf-san__gondola,3,2,syft,4,3,1,0,85.7,85.7,2,2,0,66.7,66.7
bmf-san__gondola,3,2,trivy,4,3,1,0,85.7,85.7,2,2,0,66.7,66.7
bmf-san__gondola,3,2,cdxgen,2,2,0,1,80.0,80.0,2,0,0,100.0,100.0
bmf-san__gondola,3,2,cyclonedx-gomod,2,2,0,1,80.0,80.0,2,0,0,100.0,100.0
bobg__basexx,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__basexx,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__basexx,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__basexx,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__combo,9,5,syft,7,7,0,2,87.5,87.5,5,2,0,83.3,83.3
bobg__combo,9,5,trivy,5,5,0,4,71.4,71.4,5,0,0,100.0,100.0
bobg__combo,9,5,cdxgen,5,5,0,4,71.4,71.4,5,0,0,100.0,100.0
bobg__combo,9,5,cyclonedx-gomod,5,5,0,4,71.4,71.4,5,0,0,100.0,100.0
bobg__decouple,12,4,syft,9,8,1,4,76.2,76.2,4,5,0,61.5,61.5
bobg__decouple,12,4,trivy,7,6,1,6,63.2,63.2,4,3,0,72.7,72.7
bobg__decouple,12,4,cdxgen,4,4,0,8,50.0,50.0,4,0,0,100.0,100.0
bobg__decouple,12,4,cyclonedx-gomod,4,4,0,8,50.0,50.0,4,0,0,100.0,100.0
bobg__encid,70,10,syft,24,24,0,46,51.1,51.1,10,14,0,58.8,58.8
bobg__encid,70,10,trivy,11,11,0,59,27.2,27.2,10,1,0,95.2,95.2
bobg__encid,70,10,cdxgen,10,10,0,60,25.0,25.0,10,0,0,100.0,100.0
bobg__encid,70,10,cyclonedx-gomod,10,10,0,60,25.0,25.0,10,0,0,100.0,100.0
bobg__go-generics,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__go-generics,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__go-generics,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__go-generics,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bobg__hashsplit,6,1,syft,3,3,0,3,66.7,44.4,1,2,0,50.0,0.0
bobg__hashsplit,6,1,trivy,3,3,0,3,66.7,44.4,1,2,0,50.0,0.0
bobg__hashsplit,6,1,cdxgen,1,1,0,5,28.6,0.0,1,0,0,100.0,0.0
bobg__hashsplit,6,1,cyclonedx-gomod,1,1,0,5,28.6,28.6,1,0,0,100.0,100.0
bobg__htree,10,2,syft,5,5,0,5,66.7,66.7,2,3,0,57.1,57.1
bobg__htree,10,2,trivy,10,10,0,0,100.0,100.0,2,8,0,33.3,33.3
bobg__htree,10,2,cdxgen,2,2,0,8,33.3,33.3,2,0,0,100.0,100.0
bobg__htree,10,2,cyclonedx-gomod,2,2,0,8,33.3,33.3,2,0,0,100.0,100.0
bobg__mid,3,1,syft,3,3,0,0,100.0,100.0,1,2,0,50.0,50.0
bobg__mid,3,1,trivy,3,3,0,0,100.0,100.0,1,2,0,50.0,50.0
bobg__mid,3,1,cdxgen,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bobg__mid,3,1,cyclonedx-gomod,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bobg__modver,60,27,syft,50,47,3,13,85.5,85.5,27,23,0,70.1,70.1
bobg__modver,60,27,trivy,31,28,3,32,61.5,61.5,27,4,0,93.1,93.1
bobg__modver,60,27,cdxgen,29,27,2,33,60.7,60.7,27,2,0,96.4,96.4
bobg__modver,60,27,cyclonedx-gomod,28,28,0,32,63.6,63.6,27,1,0,98.2,98.2
bobg__subcmd,3,1,syft,2,2,0,1,80.0,80.0,1,1,0,66.7,66.7
bobg__subcmd,3,1,trivy,3,3,0,0,100.0,100.0,1,2,0,50.0,50.0
bobg__subcmd,3,1,cdxgen,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bobg__subcmd,3,1,cyclonedx-gomod,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bogdanfinn__tls-client,32,15,syft,26,25,1,7,86.2,86.2,15,11,0,73.2,73.2
bogdanfinn__tls-client,32,15,trivy,21,20,1,12,75.5,75.5,15,6,0,83.3,83.3
bogdanfinn__tls-client,32,15,cdxgen,15,15,0,17,63.8,63.8,15,0,0,100.0,100.0
bogdanfinn__tls-client,32,15,cyclonedx-gomod,15,15,0,17,63.8,63.8,15,0,0,100.0,100.0
bogem__id3v2,2,1,syft,2,1,1,1,50.0,50.0,1,1,0,66.7,66.7
bogem__id3v2,2,1,trivy,11,2,9,0,30.8,30.8,1,10,0,16.7,16.7
bogem__id3v2,2,1,cdxgen,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bogem__id3v2,2,1,cyclonedx-gomod,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bojanz__currency,2,1,syft,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bojanz__currency,2,1,trivy,2,2,0,0,100.0,100.0,1,1,0,66.7,66.7
bojanz__currency,2,1,cdxgen,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bojanz__currency,2,1,cyclonedx-gomod,1,1,0,1,66.7,66.7,1,0,0,100.0,100.0
bokwoon95__go-structured-query,108,9,syft,12,12,0,96,20.0,20.0,9,3,0,85.7,85.7
bokwoon95__go-structured-query,108,9,trivy,108,108,0,0,100.0,98.1,9,99,0,15.4,15.4
bokwoon95__go-structured-query,108,9,cdxgen,9,9,0,99,15.4,15.4,9,0,0,100.0,100.0
bokwoon95__go-structured-query,108,9,cyclonedx-gomod,10,10,0,98,16.9,16.9,9,1,0,94.7,94.7
borderstech__artifex,5,1,syft,5,5,0,0,100.0,100.0,1,4,0,33.3,33.3
borderstech__artifex,5,1,trivy,5,5,0,0,100.0,100.0,1,4,0,33.3,33.3
borderstech__artifex,5,1,cdxgen,1,1,0,4,33.3,33.3,1,0,0,100.0,100.0
borderstech__artifex,5,1,cyclonedx-gomod,1,1,0,4,33.3,33.3,1,0,0,100.0,100.0
born-ml__born,15,3,syft,14,14,0,1,96.6,96.6,3,11,0,35.3,35.3
born-ml__born,15,3,trivy,13,13,0,2,92.9,92.9,3,10,0,37.5,37.5
born-ml__born,15,3,cdxgen,3,3,0,12,33.3,33.3,3,0,0,100.0,100.0
born-ml__born,15,3,cyclonedx-gomod,9,9,0,6,75.0,75.0,3,6,0,50.0,50.0
box-cli-maker__box-cli-maker,19,11,syft,12,12,0,7,77.4,77.4,11,1,0,95.7,95.7
box-cli-maker__box-cli-maker,19,11,trivy,12,12,0,7,77.4,77.4,11,1,0,95.7,95.7
box-cli-maker__box-cli-maker,19,11,cdxgen,11,11,0,8,73.3,73.3,11,0,0,100.0,100.0
box-cli-maker__box-cli-maker,19,11,cyclonedx-gomod,11,11,0,8,73.3,73.3,11,0,0,100.0,100.0
boxesandglue__bagme,26,14,syft,14,14,0,12,70.0,70.0,14,0,0,100.0,100.0
boxesandglue__bagme,26,14,trivy,14,14,0,12,70.0,70.0,14,0,0,100.0,100.0
boxesandglue__bagme,26,14,cdxgen,14,14,0,12,70.0,70.0,14,0,0,100.0,100.0
boxesandglue__bagme,26,14,cyclonedx-gomod,14,14,0,12,70.0,70.0,14,0,0,100.0,100.0
boyter__scc,86,47,syft,69,69,0,17,89.0,89.0,47,22,0,81.0,81.0
boyter__scc,86,47,trivy,49,49,0,37,72.6,72.6,47,2,0,97.9,97.9
boyter__scc,86,47,cdxgen,49,49,0,37,72.6,72.6,47,2,0,97.9,97.9
boyter__scc,86,47,cyclonedx-gomod,49,49,0,37,72.6,72.6,47,2,0,97.9,97.9
bozd4g__go-http-client,7,1,syft,7,7,0,0,100.0,100.0,1,6,0,25.0,25.0
bozd4g__go-http-client,7,1,trivy,6,6,0,1,92.3,92.3,1,5,0,28.6,28.6
bozd4g__go-http-client,7,1,cdxgen,1,1,0,6,25.0,25.0,1,0,0,100.0,100.0
bozd4g__go-http-client,7,1,cyclonedx-gomod,1,1,0,6,25.0,25.0,1,0,0,100.0,100.0
bradleyjkemp__cupaloy,6,2,syft,6,6,0,0,100.0,100.0,2,4,0,50.0,50.0
bradleyjkemp__cupaloy,6,2,trivy,6,6,0,0,100.0,100.0,2,4,0,50.0,50.0
bradleyjkemp__cupaloy,6,2,cdxgen,2,2,0,4,50.0,50.0,2,0,0,100.0,100.0
bradleyjkemp__cupaloy,6,2,cyclonedx-gomod,2,2,0,4,50.0,50.0,2,0,0,100.0,100.0
brandonyoungdev__tldx,72,48,syft,64,64,0,8,94.1,94.1,48,16,0,85.7,85.7
brandonyoungdev__tldx,72,48,trivy,53,53,0,19,84.8,84.8,48,5,0,95.0,95.0
brandonyoungdev__tldx,72,48,cdxgen,48,48,0,24,80.0,80.0,48,0,0,100.0,100.0
brandonyoungdev__tldx,72,48,cyclonedx-gomod,49,49,0,23,81.0,81.0,48,1,0,99.0,99.0
briandowns__spinner,5,5,syft,5,5,0,0,100.0,100.0,5,0,0,100.0,100.0
briandowns__spinner,5,5,trivy,5,5,0,0,100.0,100.0,5,0,0,100.0,100.0
briandowns__spinner,5,5,cdxgen,5,5,0,0,100.0,100.0,5,0,0,100.0,100.0
briandowns__spinner,5,5,cyclonedx-gomod,5,5,0,0,100.0,100.0,5,0,0,100.0,100.0
bsm__redeo,3,1,syft,3,3,0,0,100.0,100.0,1,2,0,50.0,50.0
bsm__redeo,3,1,trivy,3,3,0,0,100.0,100.0,1,2,0,50.0,50.0
bsm__redeo,3,1,cdxgen,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bsm__redeo,3,1,cyclonedx-gomod,1,1,0,2,50.0,50.0,1,0,0,100.0,100.0
bsm__redislock,11,3,syft,10,10,0,1,95.2,95.2,3,7,0,46.2,46.2
bsm__redislock,11,3,trivy,3,3,0,8,42.9,42.9,3,0,0,100.0,100.0
bsm__redislock,11,3,cdxgen,3,3,0,8,42.9,42.9,3,0,0,100.0,100.0
bsm__redislock,11,3,cyclonedx-gomod,3,3,0,8,42.9,42.9,3,0,0,100.0,100.0
btnguyen2k__gocosmos,7,6,syft,8,7,1,0,93.3,93.3,6,2,0,85.7,85.7
btnguyen2k__gocosmos,7,6,trivy,8,7,1,0,93.3,93.3,6,2,0,85.7,85.7
btnguyen2k__gocosmos,7,6,cdxgen,6,6,0,1,92.3,92.3,6,0,0,100.0,100.0
btnguyen2k__gocosmos,7,6,cyclonedx-gomod,6,6,0,1,92.3,92.3,6,0,0,100.0,100.0
buger__gor,147,66,syft,83,83,0,64,72.2,71.3,66,17,0,88.6,88.6
buger__gor,147,66,trivy,71,71,0,76,65.1,65.1,66,5,0,96.4,96.4
buger__gor,147,66,cdxgen,66,66,0,81,62.0,62.0,66,0,0,100.0,100.0
buger__gor,147,66,cyclonedx-gomod,66,66,0,81,62.0,62.0,65,1,1,98.5,98.5
bwmarrin__discordgo,1,1,syft,15,1,14,0,12.5,12.5,1,14,0,12.5,12.5
bwmarrin__discordgo,1,1,trivy,23,1,22,0,8.3,8.3,1,22,0,8.3,8.3
bwmarrin__discordgo,1,1,cdxgen,8,1,7,0,22.2,22.2,1,7,0,22.2,22.2
bwmarrin__discordgo,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
bykof__gostradamus,7,1,syft,6,6,0,1,92.3,92.3,1,5,0,28.6,28.6
bykof__gostradamus,7,1,trivy,5,5,0,2,83.3,83.3,1,4,0,33.3,33.3
bykof__gostradamus,7,1,cdxgen,1,1,0,6,25.0,25.0,1,0,0,100.0,100.0
bykof__gostradamus,7,1,cyclonedx-gomod,1,1,0,6,25.0,25.0,1,0,0,100.0,100.0
bytebase__bytebase,980,321,syft,477,467,10,513,64.1,63.1,313,164,8,78.4,77.2
bytebase__bytebase,980,321,trivy,351,343,8,637,51.5,50.8,313,38,8,93.2,91.7
bytebase__bytebase,980,321,cdxgen,321,321,0,659,49.3,47.3,321,0,0,100.0,98.4
bytebase__bytebase,980,321,cyclonedx-gomod,343,335,8,645,50.6,50.6,309,34,12,93.1,93.1
c-bata__go-prompt,7,3,syft,5,5,0,2,83.3,83.3,3,2,0,75.0,75.0
c-bata__go-prompt,7,3,trivy,7,7,0,0,100.0,100.0,3,4,0,60.0,60.0
c-bata__go-prompt,7,3,cdxgen,3,3,0,4,60.0,60.0,3,0,0,100.0,100.0
c-bata__go-prompt,7,3,cyclonedx-gomod,6,6,0,1,92.3,92.3,3,3,0,66.7,66.7
c-bata__goptuna,54,19,syft,56,32,24,22,58.2,50.9,19,37,0,50.7,50.7
c-bata__goptuna,54,19,trivy,44,23,21,31,46.9,42.9,19,25,0,60.3,60.3
c-bata__goptuna,54,19,cdxgen,0,0,0,54,0.0,0.0,0,0,19,0.0,0.0
c-bata__goptuna,54,19,cyclonedx-gomod,20,20,0,34,54.1,54.1,19,1,0,97.4,97.4
c-robinson__iplib,1,1,syft,3,1,2,0,50.0,50.0,1,2,0,50.0,50.0
c-robinson__iplib,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
c-robinson__iplib,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
c-robinson__iplib,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
c9s__bbgo,379,129,syft,160,160,0,219,59.4,59.4,129,31,0,89.3,89.3
c9s__bbgo,379,129,trivy,145,145,0,234,55.3,55.3,129,16,0,94.2,94.2
c9s__bbgo,379,129,cdxgen,129,129,0,250,50.8,50.8,129,0,0,100.0,100.0
c9s__bbgo,379,129,cyclonedx-gomod,142,142,0,237,54.5,54.5,128,14,1,94.5,94.5
caarlos0__log,21,16,syft,17,17,0,4,89.5,89.5,16,1,0,97.0,97.0
caarlos0__log,21,16,trivy,16,16,0,5,86.5,86.5,16,0,0,100.0,100.0
caarlos0__log,21,16,cdxgen,16,16,0,5,86.5,86.5,16,0,0,100.0,100.0
caarlos0__log,21,16,cyclonedx-gomod,16,16,0,5,86.5,86.5,16,0,0,100.0,100.0
cabify__gotoprom,48,10,syft,20,20,0,28,58.8,58.8,10,10,0,66.7,66.7
cabify__gotoprom,48,10,trivy,48,48,0,0,100.0,100.0,10,38,0,34.5,34.5
cabify__gotoprom,48,10,cdxgen,10,10,0,38,34.5,34.5,10,0,0,100.0,100.0
cabify__gotoprom,48,10,cyclonedx-gomod,10,10,0,38,34.5,34.5,10,0,0,100.0,100.0
cabify__logrusiowriter,8,2,syft,7,7,0,1,93.3,93.3,2,5,0,44.4,44.4
cabify__logrusiowriter,8,2,trivy,8,8,0,0,100.0,100.0,2,6,0,40.0,40.0
cabify__logrusiowriter,8,2,cdxgen,2,2,0,6,40.0,40.0,2,0,0,100.0,100.0
cabify__logrusiowriter,8,2,cyclonedx-gomod,2,2,0,6,40.0,40.0,2,0,0,100.0,100.0
cabify__timex,6,5,syft,6,6,0,0,100.0,100.0,5,1,0,90.9,90.9
cabify__timex,6,5,trivy,6,6,0,0,100.0,100.0,5,1,0,90.9,90.9
cabify__timex,6,5,cdxgen,5,5,0,1,90.9,90.9,5,0,0,100.0,100.0
cabify__timex,6,5,cyclonedx-gomod,4,4,0,2,80.0,80.0,4,0,1,88.9,88.9
caddyserver__caddy,546,156,syft,215,215,0,331,56.5,56.5,156,59,0,84.1,84.1
caddyserver__caddy,546,156,trivy,166,166,0,380,46.6,46.6,156,10,0,96.9,96.9
caddyserver__caddy,546,156,cdxgen,156,156,0,390,44.4,44.4,156,0,0,100.0,100.0
caddyserver__caddy,546,156,cyclonedx-gomod,162,162,0,384,45.8,45.8,156,6,0,98.1,98.1
caddyserver__certmagic,32,13,syft,27,27,0,5,91.5,91.5,13,14,0,65.0,65.0
caddyserver__certmagic,32,13,trivy,16,16,0,16,66.7,66.7,13,3,0,89.7,89.7
caddyserver__certmagic,32,13,cdxgen,13,13,0,19,57.8,57.8,13,0,0,100.0,100.0
caddyserver__certmagic,32,13,cyclonedx-gomod,16,16,0,16,66.7,66.7,13,3,0,89.7,89.7
camgraff__protoxy,112,9,syft,18,18,0,94,27.7,27.7,9,9,0,66.7,66.7
camgraff__protoxy,112,9,trivy,112,112,0,0,100.0,98.2,9,103,0,14.9,14.9
camgraff__protoxy,112,9,cdxgen,9,9,0,103,14.9,14.9,9,0,0,100.0,100.0
camgraff__protoxy,112,9,cyclonedx-gomod,11,11,0,101,17.9,17.9,9,2,0,90.0,90.0
capillariesio__capillaries,117,49,syft,65,65,0,52,71.4,71.4,49,16,0,86.0,86.0
capillariesio__capillaries,117,49,trivy,52,52,0,65,61.5,61.5,49,3,0,97.0,97.0
capillariesio__capillaries,117,49,cdxgen,49,49,0,68,59.0,59.0,49,0,0,100.0,100.0
capillariesio__capillaries,117,49,cyclonedx-gomod,49,49,0,68,59.0,59.0,49,0,0,100.0,100.0
carlmjohnson__flowmatic,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
carlmjohnson__flowmatic,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
carlmjohnson__flowmatic,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
carlmjohnson__flowmatic,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
carlmjohnson__requests,5,1,syft,1,1,0,4,33.3,33.3,1,0,0,100.0,100.0
carlmjohnson__requests,5,1,trivy,5,5,0,0,100.0,100.0,1,4,0,33.3,33.3
carlmjohnson__requests,5,1,cdxgen,1,1,0,4,33.3,33.3,1,0,0,100.0,100.0
carlmjohnson__requests,5,1,cyclonedx-gomod,1,1,0,4,33.3,33.3,1,0,0,100.0,100.0
catchplay__scaffold,2,2,syft,7,2,5,0,44.4,44.4,2,5,0,44.4,44.4
catchplay__scaffold,2,2,trivy,6,2,4,0,50.0,50.0,2,4,0,50.0,50.0
catchplay__scaffold,2,2,cdxgen,2,2,0,0,100.0,100.0,2,0,0,100.0,100.0
catchplay__scaffold,2,2,cyclonedx-gomod,2,2,0,0,100.0,100.0,2,0,0,100.0,100.0
ccbrown__api-fu,28,11,syft,49,25,24,3,64.9,59.7,11,38,0,36.7,33.3
ccbrown__api-fu,28,11,trivy,85,28,57,0,49.6,42.5,11,74,0,22.9,20.8
ccbrown__api-fu,28,11,cdxgen,24,12,12,16,46.2,38.5,11,13,0,62.9,57.1
ccbrown__api-fu,28,11,cyclonedx-gomod,15,15,0,13,69.8,69.8,11,4,0,84.6,84.6
cch123__elasticsql,1,1,syft,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
cch123__elasticsql,1,1,trivy,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
cch123__elasticsql,1,1,cdxgen,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
cch123__elasticsql,1,1,cyclonedx-gomod,1,1,0,0,100.0,100.0,1,0,0,100.0,100.0
cdipaolo__goml,8,1,syft,6,6,0,2,85.7,85.7,1,5,0,28.6,28.6
cdipaolo__goml,8,1,trivy,5,5,0,3,76.9,76.9,1,4,0,33.3,33.3
cdipaolo__goml,8,1,cdxgen,1,1,0,7,22.2,22.2,1,0,0,100.0,100.0
