name,url,clone,go_list,syft,trivy,cdxgen,cyclonedx_gomod,gt_lines
vanng822__go-premailer,https://github.com/vanng822/go-premailer,ok,ok,ok,ok,ok,ok,35
xhit__go-simple-mail,https://github.com/xhit/go-simple-mail,ok,ok,ok,ok,ok,ok,2
hectane__hectane,https://github.com/hectane/hectane,ok,fail,ok,ok,ok,fail,0
matcornic__hermes,https://github.com/matcornic/hermes,ok,ok,ok,ok,ok,ok,44
foxcpp__maddy,https://github.com/foxcpp/maddy,ok,ok,ok,ok,ok,ok,404
mailchain__mailchain,https://github.com/mailchain/mailchain,ok,fail,ok,ok,ok,fail,0
mailgun__mailgun-go,https://github.com/mailgun/mailgun-go,ok,ok,ok,ok,ok,ok,78
mailhog__MailHog,https://github.com/mailhog/MailHog,ok,fail,ok,ok,ok,fail,0
axllent__mailpit,https://github.com/axllent/mailpit,ok,ok,ok,ok,ok,ok,91
valord577__mailx,https://github.com/valord577/mailx,ok,ok,ok,ok,ok,ok,1
mjl-__mox,https://github.com/mjl-/mox,ok,ok,ok,ok,ok,ok,68
sendgrid__sendgrid-go,https://github.com/sendgrid/sendgrid-go,ok,fail,ok,ok,ok,fail,0
mailhog__smtp,https://github.com/mailhog/smtp,ok,fail,ok,ok,ok,fail,0
mocktools__go-smtp-mock,https://github.com/mocktools/go-smtp-mock,ok,ok,ok,ok,ok,ok,7
tickstem__verify,https://github.com/tickstem/verify,ok,ok,ok,ok,ok,ok,7
truemail-rb__truemail-go,https://github.com/truemail-rb/truemail-go,ok,ok,ok,ok,ok,ok,23
mattn__anko,https://github.com/mattn/anko,ok,ok,ok,ok,ok,ok,1
alexeyco__binder,https://github.com/alexeyco/binder,ok,fail,ok,ok,ok,fail,0
yuin__gopher-lua,https://github.com/yuin/gopher-lua,ok,ok,ok,ok,ok,ok,5
google__cel-go,https://github.com/google/cel-go,ok,ok,ok,ok,ok,ok,18
krotik__ecal,https://github.com/krotik/ecal,ok,ok,ok,ok,ok,ok,2
antonmedv__expr,https://github.com/antonmedv/expr,ok,ok,ok,ok,ok,ok,1
dunglas__frankenphp,https://github.com/dunglas/frankenphp,ok,ok,ok,ok,ok,ok,92
gentee__gentee,https://github.com/gentee/gentee,ok,ok,ok,ok,ok,ok,15
jcla1__gisp,https://github.com/jcla1/gisp,ok,fail,ok,ok,ok,fail,0
Shopify__go-lua,https://github.com/Shopify/go-lua,ok,ok,ok,ok,ok,ok,1
speedata__go-lua,https://github.com/speedata/go-lua,ok,ok,ok,ok,ok,ok,1
deuill__go-php,https://github.com/deuill/go-php,ok,fail,ok,ok,ok,fail,0
dop251__goja,https://github.com/dop251/goja,ok,ok,ok,ok,ok,ok,20
aarzilli__golua,https://github.com/aarzilli/golua,ok,ok,ok,ok,ok,ok,1
PaesslerAG__gval,https://github.com/PaesslerAG/gval,ok,ok,ok,ok,ok,ok,3
metacall__core,https://github.com/metacall/core,ok,fail,ok,ok,ok,fail,0
db47h__ngaro,https://github.com/db47h/ngaro,ok,fail,ok,ok,ok,fail,0
ichiban__prolog,https://github.com/ichiban/prolog,ok,ok,ok,ok,ok,ok,14
ian-kent__purl,https://github.com/ian-kent/purl,ok,fail,ok,ok,ok,fail,0
google__starlark-go,https://github.com/google/starlark-go,ok,ok,ok,ok,ok,ok,9
1set__starlet,https://github.com/1set/starlet,ok,ok,ok,ok,ok,ok,25
d5__tengo,https://github.com/d5/tengo,ok,ok,ok,ok,ok,ok,1
wa-lang__wa,https://github.com/wa-lang/wa,ok,ok,ok,ok,ok,ok,1
emperror__emperror,https://github.com/emperror/emperror,ok,ok,ok,ok,ok,ok,9
rotisserie__eris,https://github.com/rotisserie/eris,ok,ok,ok,ok,ok,ok,1
pkg__errors,https://github.com/pkg/errors,ok,fail,ok,ok,ok,fail,0
snwfdhmp__errlog,https://github.com/snwfdhmp/errlog,ok,fail,ok,ok,ok,fail,0
