repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
DarthPestilane__easytcp,cyclonedx-gomod,14,0,16,14,0,16,11,3,0,11,3,0,11,3,4,8,6,7
DeRuina__timberjack,syft,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
DeRuina__timberjack,trivy,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
DeRuina__timberjack,cdxgen,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
DeRuina__timberjack,cyclonedx-gomod,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
DrmagicE__gmqtt,syft,119,0,193,119,0,193,47,72,0,47,72,0,45,74,2,21,98,26
DrmagicE__gmqtt,trivy,105,0,207,105,0,207,47,58,0,47,58,0,45,60,2,21,84,26
DrmagicE__gmqtt,cdxgen,47,0,265,47,0,265,47,0,0,47,0,0,45,2,2,21,26,26
DrmagicE__gmqtt,cyclonedx-gomod,104,0,208,104,0,208,47,57,0,47,57,0,45,59,2,21,83,26
DylanMeeus__hasgo,syft,2,1,6,2,2,6,2,1,0,2,2,0,2,1,0,0,4,2
DylanMeeus__hasgo,trivy,8,1,0,8,2,0,2,7,0,2,8,0,2,7,0,0,10,2
DylanMeeus__hasgo,cdxgen,2,0,6,2,0,6,2,0,0,2,0,0,2,0,0,0,2,2
DylanMeeus__hasgo,cyclonedx-gomod,2,0,6,2,0,6,2,0,0,2,0,0,2,0,0,0,2,2
Dynom__TySug,syft,13,0,3,13,0,3,8,5,0,8,5,0,9,4,0,9,4,0
Dynom__TySug,trivy,10,0,6,10,0,6,8,2,0,8,2,0,9,1,0,9,1,0
Dynom__TySug,cdxgen,8,0,8,8,0,8,8,0,0,8,0,0,8,0,1,8,0,1
Dynom__TySug,cyclonedx-gomod,9,0,7,9,0,7,8,1,0,8,1,0,8,1,1,8,1,1
EchoVault__EchoVault,syft,40,0,56,40,0,56,30,10,0,30,10,0,31,9,0,31,9,0
EchoVault__EchoVault,trivy,31,0,65,31,0,65,30,1,0,30,1,0,31,0,0,31,0,0
EchoVault__EchoVault,cdxgen,30,0,66,30,0,66,30,0,0,30,0,0,30,0,1,30,0,1
EchoVault__EchoVault,cyclonedx-gomod,30,0,66,30,0,66,30,0,0,30,0,0,30,0,1,30,0,1
EngoEngine__engo,syft,31,0,14,31,0,14,17,14,0,17,14,0,21,10,0,16,15,5
EngoEngine__engo,trivy,31,0,14,31,0,14,17,14,0,17,14,0,21,10,0,16,15,5
EngoEngine__engo,cdxgen,17,0,28,17,0,28,17,0,0,17,0,0,17,0,4,13,4,8
EngoEngine__engo,cyclonedx-gomod,24,0,21,24,0,21,17,7,0,17,7,0,17,7,4,13,11,8
Eun__go-convert,syft,6,0,1,6,1,1,5,1,0,5,2,0,5,1,0,5,2,0
Eun__go-convert,trivy,7,0,0,7,1,0,5,2,0,5,3,0,5,2,0,5,3,0
Eun__go-convert,cdxgen,5,0,2,5,0,2,5,0,0,5,0,0,5,0,0,5,0,0
Eun__go-convert,cyclonedx-gomod,5,0,2,5,0,2,5,0,0,5,0,0,5,0,0,5,0,0
Eun__go-hit,syft,44,0,8,44,42,8,30,14,0,30,56,0,35,9,0,25,61,10
Eun__go-hit,trivy,52,0,0,52,53,0,30,22,0,30,75,0,35,17,0,26,79,9
Eun__go-hit,cdxgen,38,0,14,38,0,14,30,8,0,30,8,0,35,3,0,21,17,14
Eun__go-hit,cyclonedx-gomod,30,0,22,30,0,22,30,0,0,30,0,0,30,0,5,18,12,17
Evertras__bubble-table,syft,27,0,8,27,0,8,19,8,0,19,8,0,23,4,0,23,4,0
Evertras__bubble-table,trivy,23,0,12,23,0,12,19,4,0,19,4,0,23,0,0,23,0,0
Evertras__bubble-table,cdxgen,19,0,16,19,0,16,19,0,0,19,0,0,19,0,4,19,0,4
Evertras__bubble-table,cyclonedx-gomod,19,0,16,19,0,16,19,0,0,19,0,0,19,0,4,19,0,4
FiloSottile__age,syft,9,0,8,9,0,8,6,3,0,6,3,0,9,0,0,9,0,0
FiloSottile__age,trivy,9,0,8,9,0,8,6,3,0,6,3,0,9,0,0,9,0,0
FiloSottile__age,cdxgen,6,0,11,6,0,11,6,0,0,6,0,0,6,0,3,6,0,3
FiloSottile__age,cyclonedx-gomod,6,0,11,6,0,11,6,0,0,6,0,0,6,0,3,6,0,3
Forceu__gokapi,syft,71,0,43,71,0,43,30,41,0,30,41,0,26,45,1,10,61,17
Forceu__gokapi,trivy,49,0,65,49,0,65,30,19,0,30,19,0,26,23,1,10,39,17
Forceu__gokapi,cdxgen,49,0,65,49,0,65,30,19,0,30,19,0,26,23,1,10,39,17
Forceu__gokapi,cyclonedx-gomod,41,0,73,41,0,73,30,11,0,30,11,0,21,20,6,9,32,18
FreeLeh__GoFreeDB,syft,29,0,64,29,0,64,16,13,0,16,13,0,22,7,0,22,7,0
FreeLeh__GoFreeDB,trivy,23,0,70,23,0,70,16,7,0,16,7,0,22,1,0,22,1,0
FreeLeh__GoFreeDB,cdxgen,16,0,77,16,0,77,16,0,0,16,0,0,16,0,6,16,0,6
FreeLeh__GoFreeDB,cyclonedx-gomod,17,0,76,17,0,76,16,1,0,16,1,0,16,1,6,16,1,6
Fs02__go-todo-backend,syft,40,0,11,40,0,11,16,24,0,16,24,0,17,23,0,17,23,0
Fs02__go-todo-backend,trivy,17,0,34,17,0,34,16,1,0,16,1,0,17,0,0,17,0,0
Fs02__go-todo-backend,cdxgen,17,0,34,17,0,34,16,1,0,16,1,0,17,0,0,17,0,0
Fs02__go-todo-backend,cyclonedx-gomod,15,0,36,15,0,36,15,0,1,15,0,1,15,0,2,15,0,2
Fs02__grimoire,syft,12,0,0,12,0,0,11,1,0,11,1,0,11,1,0,9,3,2
Fs02__grimoire,trivy,12,0,0,12,0,0,11,1,0,11,1,0,11,1,0,9,3,2
Fs02__grimoire,cdxgen,11,0,1,11,0,1,11,0,0,11,0,0,10,1,1,8,3,3
Fs02__grimoire,cyclonedx-gomod,11,0,1,11,0,1,11,0,0,11,0,0,10,1,1,8,3,3
GiGurra__boa,syft,3,0,4,3,0,4,2,1,0,2,1,0,2,1,0,2,1,0
GiGurra__boa,trivy,3,0,4,3,0,4,2,1,0,2,1,0,2,1,0,2,1,0
GiGurra__boa,cdxgen,2,0,5,2,0,5,2,0,0,2,0,0,2,0,0,2,0,0
GiGurra__boa,cyclonedx-gomod,3,0,4,3,0,4,2,1,0,2,1,0,2,1,0,2,1,0
Gituser143__cryptgo,syft,38,0,145,38,0,145,26,12,0,26,12,0,26,12,0,26,12,0
Gituser143__cryptgo,trivy,183,0,0,183,0,0,26,157,0,26,157,0,26,157,0,26,157,0
Gituser143__cryptgo,cdxgen,26,0,157,26,0,157,26,0,0,26,0,0,26,0,0,26,0,0
