repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_resid_gosum,fp_resid_sibling
Clivern__Beaver,cdxgen,41,0,131,41,0,0,41,0,0,41,0,131,41,0,0,41,0,0,0,0,0,0,0,0
Clivern__Beaver,cyclonedx-gomod,51,0,121,41,10,0,41,10,0,51,0,121,41,10,0,41,10,0,0,1,0,9,0,0
CloudyKit__jet,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CloudyKit__jet,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CloudyKit__jet,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CloudyKit__jet,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Code-Hex__Neo-cowsay,syft,5,16,0,3,18,0,4,17,0,5,16,0,3,18,0,4,17,0,1,0,0,1,0,16
Code-Hex__Neo-cowsay,trivy,5,22,0,3,24,0,4,23,0,5,22,0,3,24,0,4,23,0,1,0,0,1,0,22
Code-Hex__Neo-cowsay,cdxgen,3,13,2,3,13,0,3,13,1,3,13,2,3,13,0,3,13,1,0,0,0,0,0,13
Code-Hex__Neo-cowsay,cyclonedx-gomod,3,0,2,3,0,0,3,0,1,3,0,2,3,0,0,3,0,1,0,0,0,0,0,0
Colin4k1024__Aetheris,syft,153,15,114,124,44,0,124,44,0,153,26,114,124,55,0,124,55,0,0,0,0,7,22,15
Colin4k1024__Aetheris,trivy,132,13,135,124,21,0,124,21,0,132,20,135,124,28,0,124,28,0,0,0,0,7,1,13
Colin4k1024__Aetheris,cdxgen,125,11,142,124,12,0,124,12,0,125,16,142,124,17,0,124,17,0,0,0,0,0,1,11
Colin4k1024__Aetheris,cyclonedx-gomod,126,0,141,121,5,3,121,5,3,126,0,141,121,5,3,121,5,3,0,0,0,5,0,0
CovenantSQL__CovenantSQL,syft,126,1,112,86,41,1,91,36,1,126,1,112,86,41,1,91,36,1,5,2,1,8,25,0
CovenantSQL__CovenantSQL,trivy,237,1,1,86,152,1,91,147,1,237,1,1,86,152,1,91,147,1,5,2,1,8,136,0
CovenantSQL__CovenantSQL,cdxgen,87,0,151,87,0,0,87,0,5,87,0,151,87,0,0,87,0,5,0,0,0,0,0,0
CovenantSQL__CovenantSQL,cyclonedx-gomod,93,1,145,86,8,1,86,8,6,93,1,145,86,8,1,86,8,6,0,2,1,1,4,0
Crocmagnon__fatcontext,syft,4,0,4,3,1,0,3,1,0,4,0,4,3,1,0,3,1,0,0,0,0,0,1,0
