repo,tool,n_cold,n_warm,added_warm,removed_warm,changed,gt_all,cold_tp,warm_tp
gkampitakis__go-snaps,cyclonedx-gomod,11,11,0,0,no,23,11,11
appleboy__gorush,syft,207,207,0,0,no,391,206,206
appleboy__gorush,trivy,150,150,0,0,no,391,150,150
appleboy__gorush,cdxgen,130,130,0,0,no,391,130,130
appleboy__gorush,cyclonedx-gomod,144,144,0,0,no,391,144,144
getlantern__systray,syft,16,16,0,0,no,17,16,16
getlantern__systray,trivy,17,17,0,0,no,17,17,17
getlantern__systray,cdxgen,9,9,0,0,no,17,9,9
getlantern__systray,cyclonedx-gomod,13,13,0,0,no,17,13,13
pesos__grofer,syft,57,57,0,0,no,380,57,57
pesos__grofer,trivy,380,380,0,0,no,380,380,380
pesos__grofer,cdxgen,42,42,0,0,no,380,42,42
pesos__grofer,cyclonedx-gomod,46,46,0,0,no,380,46,46
g4s8__envdoc,syft,13,13,0,0,no,19,13,13
g4s8__envdoc,trivy,15,19,4,0,YES,19,15,19
g4s8__envdoc,cdxgen,2,2,0,0,no,19,2,2
g4s8__envdoc,cyclonedx-gomod,2,2,0,0,no,19,2,2
grafana__k6,syft,110,110,0,0,no,174,105,105
grafana__k6,trivy,100,100,0,0,no,174,95,95
grafana__k6,cdxgen,NA,NA,0,0,no,174,NA,NA
grafana__k6,cyclonedx-gomod,90,90,0,0,no,174,90,90
hyperboloide__lk,syft,8,8,0,0,no,10,8,8
hyperboloide__lk,trivy,7,7,0,0,no,10,7,7
hyperboloide__lk,cdxgen,3,3,0,0,no,10,3,3
hyperboloide__lk,cyclonedx-gomod,3,3,0,0,no,10,3,3
containers__podman-tui,syft,177,177,0,0,no,484,177,177
containers__podman-tui,trivy,143,143,0,0,no,484,143,143
containers__podman-tui,cdxgen,143,143,0,0,no,484,143,143
containers__podman-tui,cyclonedx-gomod,133,133,0,0,no,484,133,133
swithek__sessionup,syft,3,3,0,0,no,3,3,3
swithek__sessionup,trivy,3,3,0,0,no,3,3,3
swithek__sessionup,cdxgen,3,3,0,0,no,3,3,3
swithek__sessionup,cyclonedx-gomod,3,3,0,0,no,3,3,3
